id,w_ses
13271,-0.1068
13273,0.0048
13275,0.3513
13277,0.2293
13279,0.2896
13281,-0.0690
13283,-1.2891
13285,-0.1775
13287,0.0891
13289,-0.5240
13291,0.0823
13293,-0.5638
13295,-0.6796
13297,0.6029
13299,0.0306
13301,0.5762
13303,0.2338
13305,0.0562
13309,0.2003
13311,-0.0619
13313,0.1211
13315,-0.0420
13317,-0.7455
13319,0.0307
13321,-0.2386
15003,1.0469
16001,0.9732
16003,0.6376
16005,0.4661
16007,0.9158
16009,-0.0897
16011,0.6668
16013,1.7698
16015,0.0853
16017,-0.0224
16019,0.8230
16021,-0.2985
16023,0.3976
16025,-0.6488
16027,-0.2057
16029,0.7053
16031,0.5454
16035,-0.3303
16037,0.0205
16039,0.3627
16041,0.5490
16043,1.1665
16045,-0.2382
16047,0.6662
16049,-0.6625
16051,0.8584
16053,0.0897
16055,-0.0950
16057,0.5693
16059,-1.3529
16061,-1.2077
16063,0.6258
16065,0.8275
16067,0.0189
16069,0.3009
16071,0.7588
16073,-0.1708
16075,-0.4836
16077,0.8336
16079,-0.3005
16081,0.6813
16083,0.0578
16085,-0.0180
16087,0.1834
17001,-0.0621
17003,-1.1585
17005,0.5158
17007,0.6015
17009,-0.1096
17011,-0.1912
17013,-0.3970
17015,0.6514
17017,-0.0158
17019,0.9230
17021,-0.5294
17023,-0.0679
17025,-0.7417
17027,0.7164
17029,-0.5245
17031,1.3636
17033,-0.8659
17035,-0.5462
17037,1.0432
17039,0.0895
17041,0.8757
17043,1.9055
17045,-0.6977
17047,0.1607
17049,0.4200
17051,-0.5359
17053,0.6123
17055,-1.5152
17057,-0.5501
17059,-0.4564
17061,-0.4660
17063,0.8540
17065,-0.0286
17067,0.2228
17069,-1.5287
17071,0.1016
17073,0.6003
17075,-0.0398
17077,-0.3138
17079,0.1812
17081,-0.3480
17083,0.8663
17085,0.4559
17087,0.2497
17089,1.6261
17091,0.1431
17093,1.6663
17095,-0.6458
17097,1.9626
17099,-0.1726
17101,-0.8875
17103,0.3738
17105,-0.0411
17107,0.4342
17109,-0.0631
17111,1.4078
17113,1.1603
17115,-0.0232
17117,-0.1506
17119,0.1494
17121,-1.2919
17123,0.0502
17125,-0.4313
17127,-0.2664
17129,0.9495
17131,-0.0007
17133,1.3640
17135,-0.3767
17137,-0.7478
17139,-0.0883
17141,0.4941
17143,0.4236
17145,-0.7044
17147,0.9622
17149,-0.7152
17151,0.3662
17153,-1.7605
17155,0.1225
17157,-0.0545
17159,-0.0196
17161,0.0456
17163,0.6306
17165,-0.8157
17167,0.4670
17169,-0.2975
17171,0.4752
17173,0.2564
17175,0.0878
17177,-0.3793
17179,0.3271
17181,-0.4611
17183,-0.7997
17185,0.6623
17187,-0.1234
17189,0.6198
17191,-0.1280
17193,-1.1609
17195,-0.2554
17197,1.3231
17199,-0.9981
17201,0.1666
17203,1.2232
18001,-0.3537
18003,0.3064
18005,0.2748
18007,0.3507
18009,-1.2045
18011,1.7491
18013,-0.0322
18015,1.0008
