id,all_avg
010243001018,2.3994
010243001019,1.0270
010243001020,3.2979
010243001021,3.3426
010243001022,2.8284
010243001023,3.6813
010243001025,2.0858
010243001027,4.5839
010243001029,3.7994
010243001031,2.4097
010243001032,-9999.0000
010243001034,2.7886
010243001037,3.0708
010243001039,3.1206
010243001101,2.0126
010243001105,4.0877
010243001111,3.6552
010243001392,2.2018
010243001439,3.2772
010243001458,3.3946
010243001459,3.9997
010243001521,3.5293
010243001524,4.1354
010243001563,3.9421
010243001564,3.0389
010243001691,3.6339
010243001753,-9999.0000
010243001776,8.8333
010243001777,2.1916
010243002084,5.3372
010243002151,4.1968
010243002152,5.6648
010243002157,1.5071
010248000202,3.3816
010248000204,3.8372
010248000212,2.8166
010248000574,5.8853
010248001041,5.1655
010248001043,5.0971
010248001044,5.4963
010248001046,4.2172
010248001049,3.4690
010248001050,3.8677
010248001051,5.0190
010248001440,4.2882
010248001864,4.6705
010248001871,6.9474
010249001053,7.0268
010249001054,7.6296
010249001055,8.0121
010249001057,10.2184
010249001058,7.2398
010252001059,8.0500
010252001424,4.6871
010255000583,4.8240
010255001064,7.4242
010255002355,7.1202
010258000093,3.2568
010258000349,4.8492
010258001071,4.5532
010258001566,3.6130
010261001074,5.6005
010261001078,3.6386
010263501076,4.0852
010263501383,6.4353
010263501733,5.6710
010263501865,3.3966
010263502099,3.3988
010264001081,4.5373
010264001084,3.4202
010264001085,3.6154
010265001469,3.2453
010265001541,6.4132
010265001569,3.3326
010265001570,-9999.0000
010265001572,3.0027
010265001722,3.6750
010265001883,5.3259
010265002200,2.7133
010267001577,2.8784
010267001579,3.1508
010267001734,3.3187
010267001735,4.1988
010270001089,2.7929
010270001090,3.7801
010270001091,2.7263
010270001092,-9999.0000
010270001093,2.8226
010270001096,2.1185
010270001547,4.5780
010270001548,2.8910
010273001097,2.0921
010273001098,-9999.0000
010273001099,4.1047
010273001100,2.5994
010273001102,5.5171
010273001103,4.1999
010273001104,6.2748
010273001106,3.2693
010276001109,4.7035
010276001818,6.3166
010279001110,5.3494
010279001112,5.4483
010279001113,4.4316
010279001114,5.9056
010279001115,3.3366
010282001119,3.6154
010282001122,4.4528
010282001123,4.1249
010282001124,3.5131
010282001125,3.7883
010282002171,-9999.0000
010285001127,4.5927
010285001128,-9999.0000
010288001132,3.4416
010288001133,3.5803
010288001134,3.3952
010288001135,4.1196
010288001138,2.5621
010288001441,5.6332
010291001140,5.1153
010291001141,4.8890
010294001144,2.5183
010294001145,2.9786
010294001148,6.8278
010294001486,4.9157
010294001587,3.7802
010297000152,2.6027
010297001149,2.6096
010297001150,2.8022
010297001151,3.0115
010297001153,-9999.0000
010297001154,2.7967
010297001156,2.9340
010297001157,3.4106
010297001158,2.4947
010297001161,4.0102
010300000160,5.6103
010300001168,4.0485
010303000031,7.5717
010303000124,8.1494
010303000324,5.5713
010303001169,-9999.0000
010303001170,6.0871
010303001173,5.7939
010303001176,3.3092
010303001178,6.1803
010303001181,4.2591
010303001182,4.0398
010303001184,6.5800
010303001186,3.0965
010303001187,5.6361
010303001188,3.9576
010303001393,6.0978
010303001442,4.3707
010303001460,-9999.0000
010303001461,3.8628
010303001588,3.6129
010303001621,-9999.0000
010303001803,2.8149
010303001804,-9999.0000
010303001814,5.2685
010303001815,-9999.0000
010303001822,4.1996
010303001868,5.1795
010303002085,4.9859
010303002128,7.3372
010303002149,-9999.0000
010303002189,4.5553
010303002199,3.8281
010306200217,3.8455
010306200322,5.9801
010306200520,6.5825
010306201172,6.2399
010306201372,4.2356
010306201376,3.7608
010306201378,5.3157
010306201537,6.6743
010306201622,3.2624
010306201779,-9999.0000
010306201877,3.0100
010306202170,3.4602
