id,w_avg
26009,0.0257
26011,-0.3507
26013,-0.4057
26015,0.2184
26017,-0.2103
26019,0.2324
26021,0.3776
26023,-0.4790
26025,-0.2973
26027,0.2040
26029,0.2155
26031,-0.3767
26033,0.1490
26035,-0.8780
26037,0.5285
26039,0.4368
26041,-0.3774
26043,0.1164
26045,-0.1431
26047,0.6234
26049,0.1165
26051,-0.4253
26053,-0.2297
26055,0.2538
26057,-0.1317
26059,-0.7086
26061,0.3829
26063,0.0211
26065,0.5206
26067,-0.2159
26069,-0.5226
26071,-0.4271
26073,0.0388
26075,-0.1783
26077,0.5033
26079,-0.9268
26081,0.8958
26085,-1.3275
26087,-0.0832
26089,1.0054
26091,-0.0700
26093,0.7036
26095,-0.5966
26097,0.3520
26099,0.0883
26101,-0.2894
26103,-0.0435
26105,0.1553
26107,-0.3738
26109,-0.1674
26111,0.6206
26113,-0.1590
26115,-0.0542
26117,-0.7452
26119,-0.6791
26121,-0.2217
26123,-0.2059
26125,1.1469
26127,-0.2631
26129,-0.4034
26131,-0.4921
26133,-0.8587
26135,-0.6468
26137,0.4024
26139,1.1674
26141,-0.1747
26143,-0.3695
26145,0.1582
26147,0.1102
26149,-0.2633
26151,0.0246
26153,-0.4170
26155,-0.4303
26157,-0.4573
26159,0.1455
26161,1.2690
26163,0.0385
26165,-0.1670
27001,0.4759
27003,1.3154
27005,1.0766
27007,1.0179
27009,1.1341
27011,0.7633
27013,1.4201
27015,0.8432
27017,1.0730
27019,1.6880
27021,0.2069
27023,0.6331
27025,1.0490
27027,1.0460
27029,0.1180
27031,0.6944
27033,0.9200
27035,1.1285
27037,1.5929
27039,1.0976
27041,1.4423
27043,0.6164
27045,0.8271
27047,0.6424
27049,1.1441
27051,0.7665
27053,2.0970
27055,0.7601
27057,0.6484
27059,0.9093
27061,0.5215
27063,0.7593
27065,0.5757
27067,1.0583
27069,1.0624
27071,0.4406
27073,0.8459
27075,0.5210
27077,-0.0533
27079,0.6090
27081,1.1534
27083,1.0478
27085,1.1203
27087,0.0821
27089,0.7479
27091,0.4032
27093,0.9558
27095,0.4145
27097,0.4774
27099,0.5200
27101,1.0936
27103,1.4124
27105,0.8064
27107,0.8754
27109,1.4695
27111,1.0019
27113,0.8340
27115,0.0745
27117,0.5184
27119,0.8611
27121,1.1496
27123,1.6340
27125,0.4646
27127,0.7205
27129,0.6972
27131,1.1957
27133,1.0794
27135,0.8911
27137,0.6700
27139,1.6505
27141,1.0890
27143,0.6908
27145,1.1026
27147,0.9923
27149,1.2213
27151,0.7229
27153,0.0891
27155,1.3669
27157,1.1902
27159,0.4940
27161,0.9950
27163,1.5981
27165,0.7311
27167,0.3974
27169,0.8224
27171,1.4299
27173,0.4891
28001,-1.5224
28003,-0.0092
28007,0.5062
28009,-0.7440
28011,-0.1165
28013,-0.1077
28015,-1.1901
28017,-0.3640
28019,0.0991
28023,0.2039
28025,-0.0905
28029,-0.4619
28031,-1.0482
28033,0.6295
28035,0.2679
28037,-0.7243
28039,-0.4209
28041,-0.8554
28043,0.5823
28045,-0.0855
28047,0.6412
28049,0.8368
28057,-0.3312
28059,-0.0023
28061,-0.0516
28067,-0.3148
28071,0.8733
28073,0.4134
28075,0.1259
28077,-0.1691
28079,-1.0702
28081,0.1674
28083,-0.0199
28085,-0.1950
28087,0.3879
28089,1.4386
28091,-0.6815
28093,-1.0273
28095,0.1640
28097,0.4879
28099,-0.1215
28101,0.4002
28105,0.8861
28107,-0.2304
28109,-0.4154
28111,-0.8822
28113,-0.2716
28115,0.2692
28117,-0.0968
28121,0.2745
28123,-0.3245
28127,-0.5876
28129,-0.2715
28131,-0.0587
28135,-0.6133
28137,-0.2156
28139,-0.3959
28141,0.0629
28145,0.2477
28147,-1.4242
28149,-0.4027
28151,-1.0642
28153,-0.4480
28155,0.1803
28159,0.0860
28161,-0.1726
28163,-1.2212
29001,0.5211
29003,0.3487
29005,0.7694
29007,-0.1003
29009,0.0700
29011,-0.1731
29013,0.1386
29015,0.1725
29017,0.0719
29019,0.6342
29021,0.1275
29023,0.0590
29025,0.3227
29027,0.1290
29029,0.1458
29031,0.6324
29033,0.4338
29035,-0.2024
29037,0.4619
29039,-0.3037
29041,0.0939
29043,0.8931
29045,0.1123
29047,0.8973
29049,0.3940
29051,0.5120
29053,-0.1394
29055,-0.1078
29057,-0.2184
29059,-0.0820
29061,0.0580
29063,0.4303
29065,0.2010
29067,0.3057
29069,0.3464
29071,0.3788
29073,0.0938
29075,0.3799
29077,0.3356
29079,0.3530
29081,-0.0277
29083,-0.3710
29085,0.6392
29087,0.6867
29089,-0.2395
29091,0.3301
29093,0.2904
29095,0.7505
29097,0.3524
29099,0.7213
29101,0.4136
29103,-0.0716
29105,-0.0635
29107,0.1115
29109,0.0007
29111,0.4233
29113,-0.3025
29115,0.4446
29117,0.2617
29119,0.1871
29121,0.1110
29123,0.2393
29125,-0.2403
29127,0.0805
29129,-0.3665
29131,0.1864
29133,-0.1044
29135,0.3417
29137,0.0708
29139,-0.2575
29141,0.0184
29143,-0.0830
29145,0.1994
29147,0.3378
29149,0.1004
29151,0.2509
29153,0.2423
29155,-0.1538
29157,-0.2587
29159,0.1954
29161,0.4885
29163,0.0356
29165,1.3741
29167,-0.0073
29169,0.1008
29171,0.1135
29173,0.1523
29175,-0.0889
29177,0.2216
29179,-0.1171
29181,-0.3307
29183,1.0246
29185,-0.1412
29186,0.7849
29187,0.5434
29189,1.5146
29195,-0.4477
