id,m_grd
0616620,1.1381
0616650,0.9820
0616680,0.8911
0616740,1.0628
0616830,1.0731
0616860,0.9725
0616920,0.8256
0617040,0.9475
0617160,1.2263
0617190,0.9279
0617220,0.9055
0617340,0.9752
0617430,1.0945
0617490,1.0877
0617850,1.0443
0618030,0.9884
0618210,1.0631
0618390,0.6867
0618690,0.9445
0618730,1.0775
0618780,0.8336
0618840,1.1221
0618870,1.0331
0618990,1.0174
0619140,1.0639
0619260,0.8440
0619320,0.8219
0619380,1.1590
0619440,0.9790
0619490,0.9162
0619590,0.7249
0619620,0.9580
0619680,0.8684
0619700,1.0924
0619740,1.0683
0619770,1.1246
0619800,1.0080
0619890,0.8232
0619950,0.7431
0620040,1.0843
0620070,0.8332
0620130,1.1192
0620190,0.7783
0620250,1.0303
0620310,1.0544
0620370,1.1181
0620460,1.0138
0620640,0.9201
0620670,1.0156
0620730,0.9464
0620790,0.9546
0620850,0.8961
0620880,0.9997
0620910,0.9520
0621000,0.9371
0621150,0.8855
0621210,0.9641
0621240,0.9317
0621330,0.9653
0621360,1.1412
0621420,0.7994
0621450,0.8720
0621690,1.0390
0621810,0.9466
0621870,1.1928
0621930,0.9412
0621990,1.0814
0622050,1.0714
0622110,0.9158
0622170,0.7781
0622230,0.9954
0622350,0.9701
0622380,1.0659
0622410,1.0415
0622500,0.9112
0622560,1.0465
0622590,0.9482
0622650,1.0957
0622710,0.8129
0622740,0.8452
0622830,1.1294
0622860,0.8529
0622890,0.8212
0622950,0.7373
0623010,1.0213
0623080,0.9283
0623130,0.9324
0623160,0.7986
0623340,0.8373
0623430,0.8325
0623530,1.0810
0623610,0.9873
0623800,1.1200
0623940,0.9881
0623970,0.9990
0624000,1.0677
0624030,0.7771
0624090,0.7686
0624180,0.9989
0624230,0.9238
0624300,0.9211
0624360,1.0157
0624390,0.9854
0624500,1.2197
0624540,0.9302
0624570,1.1222
0624600,0.8362
0624720,1.1655
0624750,1.0253
0624870,1.0924
0624900,1.0840
0625130,0.8677
0625190,0.9045
0625230,0.8437
0625320,0.9910
0625350,0.7616
0625470,0.8950
0625530,0.9548
0625690,0.9383
0625740,1.0012
0625770,1.0478
0625800,0.8436
0625830,0.9678
0625860,1.0098
0625980,0.9149
0626040,1.1444
0626100,1.0789
0626190,0.8509
0626220,0.8147
0626280,1.0964
0626370,0.8682
0626400,0.9810
0626490,0.8716
0626640,0.9333
0626670,1.0270
0626760,1.0797
0626820,0.9557
0626910,0.8877
0627030,0.8159
0627060,1.0753
0627120,1.1512
0627180,1.0793
0627200,0.9206
0627240,0.9744
0627450,0.9616
0627480,1.1159
0627590,1.0061
0627690,0.8523
0627720,0.9109
0627780,0.9343
0627810,1.0017
0627840,0.7856
0627850,1.0175
0627900,0.9255
0627930,1.1572
0628050,0.7808
0628080,0.8231
0628140,1.0366
0628170,1.0390
0628250,0.9971
0628270,0.8851
0628320,1.0454
0628470,0.9127
0628650,0.9931
0628680,1.2493
0628710,1.0353
0628860,1.0080
0628950,0.5917
0629100,0.9383
0629220,0.8359
0629270,1.2811
0629280,0.8363
0629370,1.0061
0629430,1.2732
0629490,1.0242
0629540,0.9299
0629550,0.7769
0629580,0.9212
0629610,1.2769
0629640,0.7861
0629670,0.8658
0629700,0.9420
0629820,0.8947
0629850,0.9739
0629910,0.8764
0629940,0.6752
0630030,0.8071
0630180,1.0823
0630230,1.1356
0630250,1.1858
0630330,1.1103
0630360,1.0555
0630450,0.9996
0630510,0.9098
0630600,0.8668
0630630,0.9911
0630660,1.0437
0630720,1.1077
0630780,0.9295
0630840,0.7936
0630930,1.0102
0630990,1.0289
0631050,0.7822
0631170,0.9070
0631180,0.8798
0631290,0.8298
0631320,0.9224
0631470,1.1166
0631530,0.9909
0631710,0.9638
0631740,0.8747
0631860,0.7923
0631980,0.7472
0632040,1.0284
0632070,0.9144
0632130,0.9591
0632160,1.0066
0632270,1.0464
0632310,1.0462
0632370,0.7637
0632430,0.8002
0632550,0.8424
0632610,0.7058
0632640,0.8823
0632710,1.0169
0632760,0.9408
0632880,1.0877
0633110,0.8814
0633150,0.9812
0633240,0.9153
0633270,0.8432
0633390,0.7864
0633480,1.0251
0633510,1.1068
0633570,1.1373
0633600,0.9088
0633750,1.0216
0633840,0.9817
0633860,1.0215
0633900,0.9845
0633930,1.0493
0634170,0.9777
0634230,0.8632
0634290,1.2506
0634320,0.9546
0634410,0.9979
0634425,0.9704
0634440,0.9104
0634590,0.9313
0634620,0.9198
0634680,0.8214
0634710,0.9736
0634740,1.0476
0634800,1.0804
0634860,1.1087
0634880,0.8733
0634920,1.0226
0635010,1.0291
0635040,1.0450
0635070,0.8499
0635090,0.8829
0635130,1.0541
0635220,0.8571
0635250,0.9230
0635310,0.8206
0635360,0.9473
0635430,0.8661
0635590,1.3807
0635700,0.9295
0635730,0.9305
0635790,0.8886
0635810,1.0220
0635830,-0.0219
0635880,0.9780
0635910,1.2907
0635970,1.0359
0636030,1.2368
0636180,0.9863
0636210,1.0736
0636270,0.9534
0636800,0.8604
0636805,0.8527
0636820,1.0811
0636840,0.8349
0636970,1.0840
0636990,0.9261
0637050,0.8349
0637110,0.9666
0637200,1.1117
0637230,0.9349
0637290,1.0844
0637320,0.9212
0637350,1.1284
0637380,1.2649
0637500,1.1231
0637530,0.9879
0637560,0.8418
0637590,0.9431
0637620,0.9046
0637710,0.9208
0637830,1.0828
0637890,0.6765
0637950,1.0230
0638010,1.0332
0638130,0.7777
0638220,1.0895
0638340,0.9761
0638430,0.8131
0638460,1.0013
0638550,0.9473
0638640,0.8613
0638670,0.9269
0638700,0.8653
0638770,1.0704
0638880,0.9581
0638980,1.0650
0639000,1.1098
0639060,0.8994
0639180,0.8340
0639300,1.0057
0639420,1.0139
0639630,1.0948
0639870,0.8768
0640150,1.0040
0640230,1.0584
0640300,1.0231
0640320,1.0533
0640380,0.8367
0640470,0.6675
0640590,0.9707
0640650,0.9972
0640680,1.0091
0640740,0.7711
0640980,1.0076
0641040,0.7343
0641130,0.9049
0641160,1.1156
0641190,0.9283
0641250,0.9779
0641280,1.0944
0641400,0.9050
0641460,1.0202
0641580,0.9302
0641610,0.9594
0641790,0.8814
0641880,0.8618
0642000,0.8460
0642060,0.9901
0642120,1.0041
0642140,1.0459
0642150,1.0945
0642330,0.9569
0642450,0.9323
0642510,1.3037
0642540,0.6335
0642560,0.9399
0642710,0.9244
0642810,0.8820
0642930,0.9209
0642960,1.0050
0642990,0.9599
0643080,0.9883
0643140,1.1018
0643170,0.5908
0643200,0.9597
0643380,1.0028
0643470,0.8732
0643560,1.0652
0684500,1.1790
0691005,1.0486
0691012,1.1758
0691021,0.6480
0691026,0.6411
0691029,0.2714
0691031,0.9972
0691035,1.2466
0691045,0.9750
0691047,0.5827
0691078,0.9063
0691134,0.9079
0691135,0.7757
0691136,1.1660
0801920,0.9328
0801950,0.8868
0802340,0.8599
0802490,0.9773
0802580,0.7060
0802790,0.7321
0802910,0.8903
0803060,0.8345
0803360,0.9362
0803450,0.9501
0803480,0.9714
0803540,0.8801
0803780,0.8716
0803870,0.7869
0803990,0.9371
0804050,0.8349
0804080,0.8021
0804350,0.9300
0804410,0.7865
0804530,0.8464
0804800,0.9501
0804830,0.8568
0805310,0.9413
0805370,0.9348
0805400,0.8427
0805550,0.8371
0805790,0.8715
0806120,0.6147
0806150,0.8091
0806480,0.9176
0806900,0.8996
0807230,0.8429
0807350,1.0439
0900060,0.7396
0900070,0.9113
0900090,0.9369
0900120,1.1173
0900210,0.9048
0900240,1.2618
0900270,0.8305
0900330,0.8690
0900360,0.9242
0900420,0.8948
0900450,0.8774
0900510,0.9510
0900540,1.0113
0900570,0.9223
0900660,0.8886
0900690,0.9434
0900700,0.7762
0900750,1.0071
0900810,1.0101
0900840,1.0210
0900900,1.0403
0900910,0.8800
0900960,0.9160
0900990,0.8926
0901020,0.7981
0901050,1.2677
0901080,0.9211
0901110,0.8114
0901170,0.9528
0901200,0.8219
0901230,0.8979
0901260,0.7964
0901290,0.8504
0901320,1.0007
0901350,0.9571
0901410,0.9082
0901440,1.0208
0901470,0.7468
0901500,1.0022
0901530,0.9556
0901560,0.9712
0901620,1.0812
0901680,0.8992
0901710,1.0388
0901740,1.0476
0901770,0.9118
0901800,1.0832
0901860,0.8836
0901920,0.8601
0902010,0.9196
0902070,0.9870
0902130,1.0289
0902160,0.8766
0902190,0.9305
0902220,1.0431
0902280,0.9770
0902310,0.6990
0902340,0.9687
0902370,1.0370
0902400,0.7363
0902490,0.7725
0902520,0.9489
0902550,0.8583
0902580,0.8327
0902640,0.8543
0902670,0.8141
0902700,0.8658
0902730,0.9992
0902790,0.9458
0902820,0.7949
0902850,0.9017
0902880,0.8411
0902910,0.9496
0902970,0.9052
0903030,0.9357
0903060,0.8211
0903090,0.7714
0903120,0.8494
0903180,0.9576
0903210,1.0324
0903240,0.8671
0903270,0.8580
0903300,0.7772
0903330,0.8219
