id,f_avg
0604740,0.5134
0604800,0.3278
0604830,1.3125
0605040,-2.0460
0605240,-0.7894
0605280,-0.8117
0605580,-1.6829
0605610,0.6550
0605670,0.9553
0605700,-1.3784
0605790,-1.2218
0605880,0.9296
0605910,0.3355
0606030,-1.3845
0606060,-0.0504
0606090,-0.7366
0606270,1.0975
0606330,0.5194
0606360,-0.4924
0606390,-0.6787
0606450,0.2796
0606480,1.9001
0606570,-1.1322
0606720,-2.6405
0606750,-0.0353
0606780,-0.3545
0606810,-0.5279
0606870,-0.8351
0606900,-1.9389
0606990,-0.9948
0607020,-0.7389
0607140,1.0950
0607170,0.3886
0607200,0.2541
0607260,-1.0526
0607440,0.9702
0607470,1.6847
0607500,1.3736
0607530,1.9575
0607560,-0.3053
0607680,-1.3079
0607740,0.1765
0607800,1.2251
0607900,-0.6642
0607950,-0.1933
0607970,-0.8105
0607980,-0.4678
0608070,0.2024
0608130,-0.9361
0608190,-0.1969
0608250,-1.1758
0608370,-0.4633
0608460,0.4112
0608520,-1.4063
0608580,-1.8047
0608610,0.2877
0608760,0.5011
0608970,-1.2644
0609030,0.9131
0609070,-2.1495
0609120,-1.8060
0609300,-0.5944
0609330,0.2277
0609390,-1.3634
0609450,-0.2660
0609480,-0.1704
0609570,-1.4171
0609620,-1.8169
0609640,1.0126
0609690,-1.7890
0609780,-1.4230
0609850,0.0837
0609870,1.5475
0609940,-0.7458
0609990,-0.5362
0610050,-0.6323
0610260,0.5399
0610290,3.4045
0610320,-0.7014
0610350,-1.5318
0610380,-0.0864
0610440,1.2441
0610620,1.4701
0610710,-0.9893
0610740,3.1782
0610770,-1.1811
0610890,-1.4042
0611040,-0.9198
0611110,-0.4801
0611220,1.4455
0611280,-0.9390
0611460,-0.5766
0611490,0.3542
0611520,-0.5181
0611730,-0.1426
0611760,-2.0618
0611850,0.0439
0611870,-0.6138
0611910,-2.0523
0611940,-1.3856
0612030,-1.2214
0612090,-0.9090
0612180,-1.0747
0612210,0.9509
0612330,-0.1521
0612630,-1.2384
0612690,-0.9292
0612750,1.7237
0612810,-0.3648
0612840,-0.6639
0612880,-1.1473
0612930,-1.6460
0612960,0.8301
0613080,1.2887
0613140,1.2636
0613170,0.2544
0613200,-0.9397
0613290,-2.0797
0613360,-0.5581
0613470,-0.5701
0613500,-0.3100
0613800,-1.8550
0613840,-1.0053
0613890,0.3488
0613920,-1.3520
0613980,0.0076
0614010,-0.1152
0614070,-0.9915
0614160,-1.0271
0614220,1.3347
0614250,-1.1022
0614340,0.3164
0614370,-0.6931
0614400,2.1382
0614520,0.7860
0614550,-1.5387
0614580,-2.1743
0614700,0.3250
0614730,0.5080
0614790,-0.3861
0614880,0.0217
0614940,0.0599
0614950,-0.7084
0615090,-1.6033
0615180,-0.2995
0615240,0.6358
0615270,0.9706
0615390,-0.1165
0615450,0.4922
0615510,0.5859
0615600,-1.6102
0615690,1.2927
0615780,-0.6776
0615840,1.3546
0616050,-1.2305
0616080,-2.3412
0616260,-2.2667
0616300,-1.0609
0616323,-1.6191
0616325,-0.2785
0616470,-0.7563
0616570,-0.6990
0616620,-0.1893
0616650,-0.4049
0616680,-1.0421
0616740,-1.5449
0616830,-0.4291
0616860,-0.7914
0616920,-1.0781
0617040,1.6049
0617160,0.2656
0617190,3.1707
0617220,-0.8492
0617340,-1.0436
0617430,-1.0832
0617490,1.1643
0617850,-1.6344
0617880,0.4435
0618030,1.3123
0618210,-0.4451
0618390,-1.3299
0618510,0.0492
0618660,1.4369
0618690,-0.7682
0618730,-0.4497
0618780,-0.1392
0618840,0.1020
0618870,-0.6125
0618990,-1.1217
0619140,-0.2544
0619200,0.1247
0619260,-1.1225
0619320,-1.3764
0619380,1.9341
0619440,-1.5692
0619490,-0.7250
0619590,-1.2683
0619620,-1.2017
0619680,-1.6955
0619700,-0.8954
0619740,-1.1275
0619770,0.2209
0619800,-0.0568
0619890,-1.0165
0619950,-2.6502
0620040,0.0699
0620070,-2.0188
0620130,2.9008
0620190,-1.2223
0620250,-0.2825
0620310,2.1161
0620370,1.6213
0620460,0.4729
0620640,-0.3817
0620670,-0.8445
0620730,-1.0364
0620760,-1.6937
0620790,-0.4143
0620820,0.5333
0620850,-1.7257
0620880,-1.9022
0620910,1.6366
0621000,1.3204
0621090,0.3287
0621150,-1.9710
0621210,-0.6942
0621240,-1.4744
0621330,-1.0243
0621360,-0.9139
0621420,-1.2734
0621450,-1.9225
0621570,-1.6972
0621690,-0.5036
0621810,-0.7227
0621870,-2.1338
0621930,-0.3743
0621990,-0.8641
0622050,-1.0644
0622110,0.4977
0622170,-1.4383
0622230,-0.8969
0622350,1.9782
0622380,2.7922
0622410,-0.9319
0622500,-0.5420
0622560,0.9921
0622590,1.8679
0622650,3.5058
0622710,-1.1608
0622740,-1.2924
0622830,2.0674
0622860,-0.0346
0622890,-0.9833
0622920,0.6542
0622950,-2.0957
0623010,0.6485
0623080,-0.0740
0623130,-0.9446
0623160,-1.7099
0623340,-1.4622
0623430,-0.7124
0623530,-0.5829
0623610,-1.0384
0623760,-1.4903
0623800,-1.2828
0623820,-2.7783
0623940,-0.3255
