id,m_coh
13245,-0.0240
13247,-0.0160
13249,0.0666
13251,-0.0632
13253,0.0872
13255,0.0138
13257,-0.0543
13259,-0.0013
13261,-0.0993
13267,0.0650
13269,0.0138
13271,0.0921
13273,-0.1237
13275,0.0172
13277,-0.0322
13279,-0.0185
13281,0.0538
13283,-0.0508
13285,0.0102
13287,0.0162
13289,0.0916
13291,0.0790
13293,0.0399
13295,0.0105
13297,0.0753
13299,0.0836
13301,-0.0011
13303,-0.0552
13305,0.0773
13309,0.1063
13311,-0.0086
13313,0.0005
13315,0.0185
13317,0.0820
13319,-0.0234
13321,-0.0418
15003,0.0555
16001,0.0173
16005,0.0067
16007,-0.0123
16009,-0.0836
16011,-0.0834
16013,-0.0615
16015,0.0250
16017,-0.0572
16019,-0.0428
16021,-0.0399
16027,-0.0462
16029,-0.0017
16031,-0.0545
16035,0.0016
16037,-0.0202
16039,0.0037
16041,0.0403
16043,-0.0298
16045,-0.1006
16047,-0.1330
16049,0.0114
16051,-0.0868
16053,-0.0915
16055,0.0237
16057,0.0247
16059,-0.0947
16061,-0.0501
16063,0.1398
16065,-0.0025
16067,0.0666
16069,-0.0237
16071,-0.1134
16073,-0.0387
16075,-0.0969
16077,-0.0809
16079,-0.0101
16081,0.0280
16083,-0.0445
16085,0.0906
16087,-0.0211
17001,-0.0773
17003,-0.0739
17005,-0.0687
17007,-0.0703
17009,-0.0453
17011,-0.0566
17013,0.0174
17015,-0.0255
17017,-0.0942
17019,-0.1312
17021,-0.1124
17023,-0.0728
17025,-0.1583
17027,0.0151
17029,-0.1385
17031,0.0563
17033,-0.0411
17035,-0.1777
17037,-0.0242
17039,-0.1266
17041,-0.0923
17043,-0.0002
17045,-0.0811
17047,0.0778
17049,-0.0428
17051,-0.0404
17053,0.0469
17055,-0.0736
17057,-0.0824
17059,-0.0612
17061,-0.0723
17063,-0.0329
17065,-0.0333
17067,0.0002
17069,-0.0579
17071,-0.0491
17073,-0.0136
17075,-0.0463
17077,-0.0772
17079,-0.1077
17081,-0.0027
17083,0.0270
17085,0.0061
17087,-0.0677
17089,-0.0242
17091,-0.0748
17093,0.0536
17095,-0.1631
17097,-0.0133
17099,-0.0705
17101,-0.0898
17103,-0.0562
17105,-0.1283
17107,-0.0450
17109,-0.1610
17111,-0.0100
17113,-0.0809
17115,-0.1212
17117,-0.0288
17119,-0.0572
17121,-0.0060
17123,-0.1320
17125,-0.0525
17127,0.0146
17129,-0.0215
17131,-0.0318
17133,0.0643
17135,0.0030
17137,-0.0624
17139,-0.0150
17141,-0.0542
17143,-0.1016
17145,-0.0236
17147,-0.0169
17149,-0.0620
17151,-0.0321
17153,-0.0394
17155,-0.1239
17157,-0.0359
17159,-0.1180
17161,-0.0971
17163,-0.0721
17165,-0.0878
17167,-0.0357
17169,-0.0424
17171,0.0325
17173,-0.0765
17175,-0.0218
17177,-0.1161
17179,-0.0410
17181,-0.0198
17183,-0.0550
17185,-0.0798
17187,-0.0713
17189,-0.0840
17191,-0.1582
17193,-0.0872
17195,-0.0916
17197,0.0185
17199,-0.0421
17201,-0.0164
17203,-0.0434
18001,0.0381
18003,0.0686
18005,0.1450
18007,0.0783
18009,0.1603
18011,0.0471
18013,0.0985
18015,0.0206
18017,0.0076
18019,0.0436
18021,0.1225
18023,0.0002
18025,0.0758
18027,0.0695
18029,0.0512
18031,0.0613
18033,0.0507
18035,0.1094
18037,0.1005
18039,0.1128
18041,0.0560
18043,0.0895
18045,0.0950
18047,0.0780
18049,-0.0003
18051,0.0017
18053,0.0407
18055,0.1407
18057,0.0380
18059,0.0811
18061,0.1138
18063,0.1173
18065,0.0834
18067,-0.0317
18069,0.0709
18071,0.0387
18073,0.0606
18075,0.1172
18077,-0.0325
18079,0.1419
18081,0.0796
18083,0.0848
18085,0.0553
18087,0.0707
18089,0.0662
18091,0.0558
18093,0.0310
18095,0.0674
18097,0.0196
18099,0.0499
18101,0.0343
18103,0.0221
18105,0.1054
18107,0.0611
18109,0.0625
18111,0.0176
18113,0.0773
18115,-0.0540
18117,-0.0152
18119,0.1028
18121,-0.0532
18123,0.1267
18125,-0.0237
18127,0.0441
18129,0.1177
18131,0.0916
18133,0.0786
18135,0.1100
18137,0.1398
18139,0.0786
18141,0.0523
18143,0.1530
18145,0.1095
18147,0.1044
18149,0.0190
18151,0.0969
18153,0.1093
18155,0.0636
18157,0.1092
18159,0.0660
18161,0.0949
18163,0.1194
18165,0.1734
18167,0.0683
18169,0.0292
18171,0.1845
18173,0.1315
18175,0.0856
18177,0.0618
18179,0.0389
18181,0.0863
18183,0.0370
19001,-0.0282
19005,0.0053
19007,0.0593
19009,0.0750
19011,0.1185
19013,0.0390
19015,0.0648
19017,0.0440
19019,0.1487
19021,-0.0012
19023,0.0526
19025,0.0190
19027,0.0080
19029,0.0358
19031,0.0033
19033,0.0322
19035,0.0150
19037,0.0566
19039,-0.0087
19041,0.0582
19043,0.0542
19045,0.0516
19047,0.0170
19049,0.0675
19051,-0.0482
19053,0.0671
19055,0.0535
19057,0.0208
19059,0.0070
19061,-0.0268
19063,-0.0109
19065,-0.0106
19067,-0.0718
19069,0.0467
19071,0.0406
19073,-0.0329
19075,0.0801
19077,0.0912
19079,0.0087
19081,0.0790
19083,0.0348
