id,h_avg
0900330,-0.5919
0900420,-0.2900
0900450,-1.9713
0900510,-1.2336
0900700,-0.5235
0900910,-0.3732
0901020,-0.9974
0901110,-1.4999
0901260,-1.8128
0901290,-0.9931
0901470,-0.4304
0901530,0.3463
0901620,0.4070
0901710,0.2788
0901770,-0.8631
0901800,1.3792
0901860,-0.7583
0901920,-2.3253
0902310,-1.2532
0902400,-1.7554
0902490,-1.2593
0902520,-0.2506
0902550,0.7398
0902580,-0.5595
0902640,-0.9089
0902670,-2.8253
0902790,-1.6000
0902820,-1.8997
0902850,-0.5078
0902880,0.0753
0902910,1.0468
0903030,0.3048
0903090,-0.5567
0903120,-1.7516
0903300,-0.3320
0903450,-0.7308
0903810,1.1912
0903840,0.1294
0903990,-0.3630
0904050,0.0384
0904110,1.1068
0904170,0.4662
0904230,0.2619
0904320,-0.9700
0904440,-0.4099
0904590,-0.8877
0904620,0.8853
0904680,-1.4370
0904740,-0.4264
0904830,-1.9193
0904860,0.2441
0904920,-0.5119
0904950,-1.0357
0905040,0.9550
0905070,-0.2194
0905190,-2.3956
0905220,-0.4906
1000080,0.1956
1000170,-0.0081
1000180,0.3351
1000190,-0.8803
1000200,-0.9778
1000230,-0.7694
1000680,0.1435
1000790,-0.0352
1001080,-0.1787
1001240,-0.8381
1001300,-1.3953
1001530,-0.6973
1001620,-0.0738
1001850,-0.6118
1100030,-1.2017
1200030,0.2734
1200090,-0.2691
1200150,0.1197
1200180,0.5242
1200240,-0.2126
1200270,0.3206
1200300,0.3700
1200330,-0.5321
1200360,-0.0965
1200390,0.1959
1200420,-0.8526
1200480,-0.2642
1200510,-0.2310
1200540,0.2782
1200600,-0.4722
1200660,-0.4493
1200720,-1.0692
1200750,-0.6981
1200780,-0.6766
1200810,-0.3904
1200840,-0.5752
1200870,-0.5235
1200930,-0.5795
1200960,-0.6200
1201020,-0.2217
1201050,-0.4910
1201080,-0.2971
1201110,0.5640
1201140,-0.8111
1201230,-1.2144
1201260,-0.5277
1201290,-0.3322
1201320,-0.1788
1201350,0.4727
1201410,-0.8795
1201440,-0.4036
1201470,-0.7408
1201500,-0.0629
1201530,-0.4345
1201560,-0.5858
1201590,-0.8279
1201620,-0.9257
1201650,0.7314
1201680,0.1872
1201710,0.2029
1201740,1.0234
1201770,-0.4109
1201800,-0.0246
1201830,-1.0066
1201920,-0.6513
1201980,-0.3337
1202012,1.1492
1202015,1.5705
1300001,-0.1644
1300060,-0.6903
1300090,-0.7504
1300120,-1.0629
1300150,-1.3868
1300240,-0.6011
1300290,-0.4905
1300330,-0.5185
1300360,-0.5078
1300390,-0.0926
1300420,-1.2922
1300540,-0.8713
1300570,0.2306
1300600,-0.3812
1300630,-0.6734
1300720,-0.7629
1300780,0.2263
1300810,-0.8810
1300840,-0.5571
1300870,-0.7836
1300900,-0.5552
1300930,-0.3851
1301020,-0.6702
1301110,-0.4107
1301170,-0.9403
1301230,-1.1181
1301290,-0.7070
1301350,-0.5313
1301380,-1.1370
1301410,0.1010
1301470,-1.1761
1301500,-0.3579
1301620,-0.9062
1301650,-0.6705
1301710,-0.7717
1301740,-1.3493
1301800,-1.8889
1301830,-0.5332
1301860,-0.6931
1301950,-1.1862
1301980,0.4445
1302010,-0.9784
1302040,-0.7105
1302070,-0.4940
1302130,0.2591
1302190,-0.7240
1302220,0.3757
1302250,-0.5709
1302280,-0.7715
1302310,-1.3837
1302340,-1.4465
1302400,-0.3088
1302430,-0.3858
1302460,-1.0501
1302520,-0.6575
1302550,-0.3576
1302580,-1.1308
1302610,-1.2926
1302700,0.0081
1302730,-0.6353
1302820,-0.4322
1302880,-0.1181
1302940,-0.2504
1303000,-0.7668
1303030,0.9915
1303300,-0.2630
1303360,-0.8717
1303390,0.2166
1303420,-0.2880
1303480,-0.5262
1303510,-0.9041
1303840,-0.4182
