id,m_grd
20059,0.8784
20061,0.6602
20067,0.9584
20069,0.9516
20073,0.6706
20077,0.8173
20079,0.7857
20081,0.8859
20085,0.9062
20087,0.8430
20091,0.9895
20093,0.9352
20095,0.9114
20099,0.8400
20103,0.9280
20107,0.8753
20111,0.9046
20113,0.7494
20115,0.8359
20117,0.8667
20121,1.0071
20123,0.9074
20125,0.9095
20127,1.0070
20129,0.7494
20131,0.9511
20133,0.9109
20137,0.7981
20139,0.8806
20143,0.8362
20145,0.7584
20147,0.6245
20149,0.7689
20151,0.6847
20155,0.8266
20157,0.9451
20159,0.8288
20161,1.0426
20163,0.8029
20167,0.6781
20169,0.8948
20171,1.0090
20173,0.8534
20175,0.7961
20177,0.9173
20181,1.0194
20183,0.9234
20185,0.7873
20189,0.5883
20191,0.9117
20193,1.0082
20197,0.9904
20201,0.7938
20205,0.8053
20209,0.7828
21001,0.8883
21003,1.0431
21005,0.8216
21007,1.0159
21009,0.8961
21011,0.9641
21013,0.7596
21015,0.9127
21017,0.8147
21019,0.9018
21021,0.8994
21023,0.9157
21025,0.6747
21027,0.8474
21029,0.9021
21031,0.8636
21033,1.0094
21035,1.0105
21037,0.9517
21039,0.8913
21041,0.8701
21043,1.0255
21045,0.9635
21047,0.7437
21049,0.9241
21051,0.7759
21053,0.7860
21055,0.8599
21057,1.1075
21059,0.7818
21061,1.0728
21063,0.9725
21065,0.8568
21067,0.8243
21069,1.0072
21071,0.8590
21073,0.8376
21075,0.8386
21077,0.7273
21079,0.7501
21081,0.8567
21083,0.8082
21085,0.8590
21087,0.7511
21089,0.9152
21091,0.8942
21093,0.9242
21095,1.0494
21097,0.8132
21099,0.9058
21101,0.8536
21103,0.8579
21105,1.0154
21107,0.9683
21109,0.5952
21111,0.8586
21113,0.8882
21115,0.9551
21117,0.8694
21119,0.9531
21121,0.9095
21123,1.0113
21125,0.9722
21127,0.7497
21129,0.9500
21131,0.9568
21133,1.1203
21135,0.8535
21137,0.9250
21139,0.8675
21141,0.9770
21143,1.1462
21145,0.9266
21147,0.7931
21149,0.9033
21151,0.9024
21153,0.7559
21155,0.8088
21157,0.8802
21159,0.8613
21161,0.8949
21163,1.0024
21165,0.8415
21167,0.9618
21169,0.9440
21171,0.3659
21173,1.0292
21175,0.7491
21177,0.7942
21179,0.9599
21181,0.8059
21183,1.0004
21185,1.0238
21187,0.9350
21189,0.6695
21191,0.7638
21193,0.9119
21195,0.8112
21197,0.8329
21199,0.8668
21203,0.7460
21205,0.9710
21207,0.7487
21209,0.8091
21211,0.7883
21213,0.8816
21215,1.0181
21217,0.9888
21219,0.8348
21221,0.7741
21223,0.8560
21225,0.7248
21227,1.0123
21229,0.8235
21231,0.6484
21233,0.9164
21235,0.9976
21237,0.9071
21239,0.8716
22001,0.9257
22003,0.8258
22005,1.0464
22007,0.9859
22009,0.7751
22011,0.7269
22013,0.9957
22015,0.9073
22017,0.8735
22019,0.7973
22021,0.8821
22023,0.8280
22025,0.7253
22027,0.8013
22029,0.8954
22031,1.1415
22033,0.9264
22035,0.8043
22037,0.9596
