id,p_grd
21017,0.8097
21019,0.8639
21021,0.8446
21023,0.9505
21025,0.6898
21027,0.8678
21029,0.8990
21031,0.8712
21033,1.0208
21035,0.9543
21037,0.9101
21039,0.9099
21041,0.8595
21043,1.0333
21045,0.9956
21047,0.7346
21049,0.9289
21051,0.8027
21053,0.8129
21055,0.8477
21057,1.1585
21059,0.7590
21061,1.0826
21063,0.9819
21065,0.8615
21067,0.7700
21069,1.0296
21071,0.8548
21073,0.8377
21075,0.8606
21077,0.7806
21079,0.7765
21081,0.8607
21083,0.8026
21085,0.8777
21087,0.7498
21089,0.9050
21091,0.8802
21093,0.9214
21095,1.0416
21097,0.8240
21099,0.8983
21101,0.8459
21103,0.8477
21105,1.0195
21107,0.9670
21109,0.6189
21111,0.8491
21113,0.8534
21115,0.8964
21117,0.8029
21119,0.9472
21121,0.9190
21123,0.9921
21125,0.9622
21127,0.8242
21129,0.9318
21131,0.9597
21133,1.1275
21135,0.8825
21137,0.9341
21139,0.9259
21141,0.9891
21143,1.1012
21145,0.8695
21147,0.8154
21149,0.8259
21151,0.9043
21153,0.7472
21155,0.8180
21157,0.8562
21159,0.8811
21161,0.9017
21163,0.9879
21165,0.8504
21167,0.9665
21169,0.9828
21171,0.3612
21173,1.0191
21175,0.7424
21177,0.8026
21179,0.9274
21181,0.8410
21183,0.9969
21185,0.9854
21187,0.9101
21189,0.8059
21191,0.7884
21193,0.9121
21195,0.7834
21197,0.8585
21199,0.8856
21203,0.7712
21205,0.9705
21207,0.7898
21209,0.7642
21211,0.7966
21213,0.9009
21215,0.9213
21217,0.9768
21219,0.8591
21221,0.7505
21223,0.9063
21225,0.8005
21227,1.0101
21229,0.7998
21231,0.6628
21233,0.9206
21235,0.9599
21237,0.9235
21239,0.8382
22001,0.9335
22003,0.8205
22005,1.0728
22007,1.0372
22009,0.7422
22011,0.7143
22013,1.0596
22015,0.9329
22017,0.8713
22019,0.8178
22021,0.8950
22023,0.8413
22025,0.7326
22027,0.8042
22029,0.8938
22031,1.1115
22033,0.9189
22035,0.8396
22037,1.0095
22039,0.8952
22041,0.9164
22043,0.9190
22045,0.8794
22047,0.7855
22049,0.8382
22051,0.9364
22053,0.7183
22055,0.9609
22057,0.9894
22059,0.9785
22061,0.9668
22063,0.9368
22065,0.7750
22067,0.7958
22069,1.0841
22071,1.0684
22073,0.7543
22075,0.8893
22077,0.8935
22079,0.8265
22081,0.7730
22083,0.9458
22085,0.8764
22087,0.9082
22089,1.0642
22091,0.9883
22093,0.7623
22095,0.9644
22097,0.8996
22099,0.8222
22101,0.8442
22103,0.9233
22105,0.9496
22107,0.8008
22109,0.8688
22111,1.0651
22113,0.9392
22115,0.9102
22117,0.7984
22119,0.9471
22121,0.9876
22123,0.9476
22125,0.9067
22127,0.9914
23001,0.9280
23003,0.8101
23005,0.9707
23007,0.9474
23009,0.9787
23011,0.8229
23013,0.8972
23015,1.0314
23017,0.8448
23019,0.8862
23021,0.8189
23023,0.9403
23025,0.9228
23027,0.8224
23029,0.8955
23031,0.8373
24001,0.7942
24003,0.7351
24005,0.7341
24009,0.8667
24011,0.9847
24013,0.9650
24015,0.8591
24017,0.9409
24019,0.8680
24021,0.8930
24023,0.9589
24025,0.9966
24027,0.9032
24029,0.7581
24031,0.8843
24033,0.8235
24035,0.8910
24037,0.8721
24039,0.9074
24041,0.8602
24043,0.8937
24045,0.8025
24047,0.8902
24510,0.6180
25001,0.8386
25003,0.8351
25005,0.8264
25007,0.9492
25009,0.8735
25011,0.7911
25013,0.7452
25015,0.9223
25017,0.9692
25021,0.9371
25023,0.9235
25025,0.9335
25027,0.8755
26001,0.8792
26003,1.0608
26005,0.8629
26007,0.9639
26009,0.9185
26011,0.8460
26013,0.9424
26015,0.8656
26017,0.8604
26019,0.8403
26021,0.9558
26023,1.0534
26025,0.9023
26027,0.9120
26029,0.9261
26031,0.9609
26033,0.9209
26035,1.0775
26037,0.9089
26039,1.0441
26041,0.8347
26043,0.9341
26045,0.9664
26047,1.0399
26049,0.9175
26051,0.9677
26053,0.8997
26055,0.9733
26057,0.8642
26059,0.9862
26061,0.9616
26063,0.9193
26065,0.7908
26067,0.9570
26069,1.0470
26071,1.0945
26073,0.8867
26075,0.8940
26077,0.9306
26079,0.8858
26081,0.9048
26085,0.8640
26087,0.9158
26089,0.9937
26091,0.9538
26093,0.8968
26095,0.9958
26097,1.0637
26099,0.9251
26101,0.9160
26103,0.8610
26105,0.8690
26107,0.7624
26109,0.9768
26111,0.9420
26113,0.8327
26115,0.9548
26117,0.8926
26119,0.7990
26121,0.9192
26123,0.9170
26125,0.9056
26127,1.0466
26129,1.0391
26131,0.8835
26133,0.9078
26135,1.1776
26137,1.0580
26139,0.9724
26141,0.8645
26143,0.9455
26145,0.8772
26147,0.9562
26149,0.9694
26151,0.8841
26153,0.8634
26155,0.8524
26157,0.9501
26159,0.9345
26161,1.0104
26163,0.9421
26165,0.8073
27001,0.9045
27003,0.9442
27005,0.8233
27007,0.8826
27009,0.9994
27011,0.7409
27013,0.8597
27015,0.9292
27017,0.7960
27019,1.0023
27021,0.7686
27023,0.9539
27025,0.8553
27027,0.9245
27029,0.9161
27033,0.7994
27035,0.9055
27037,0.8827
27039,0.7747
27041,1.0390
27043,0.8106
27045,0.8984
27047,0.8014
27049,0.9083
27051,0.9377
27053,0.9658
27055,0.8521
27057,0.7814
27059,0.9863
27061,0.8460
27063,0.6549
27065,0.9051
27067,1.0235
27071,0.9386
27073,0.9277
27075,0.8901
27079,0.9086
27081,0.7666
27083,0.9428
27085,0.9249
27087,0.6492
27089,0.7020
27091,0.8461
27093,1.0125
27095,0.9433
27097,0.9174
27099,0.8592
27101,1.0074
27103,0.9671
27105,0.9333
27107,0.8601
27109,0.8549
27111,0.9373
27113,0.7795
27115,0.7745
27117,0.7611
27119,0.7207
27121,0.7196
27123,0.9476
27125,0.8080
27127,0.9177
27129,0.8354
27131,0.9246
27133,0.9723
27135,0.9048
27137,0.8000
27139,1.0518
27141,1.0747
27143,0.8166
27145,0.8749
27147,0.8776
27149,0.8674
27151,0.7152
27153,0.8880
27157,0.9874
27159,0.8899
27161,0.7664
27163,1.0256
27165,0.9050
27167,0.8904
27169,0.9184
27171,0.9566
27173,0.8744
28001,0.8467
28003,0.8878
28005,1.0653
28007,0.8266
28009,1.0566
28011,0.8676
28013,0.9488
28015,0.9990
28017,1.0104
28019,0.9394
28021,0.7729
28023,0.9388
28025,0.9243
28027,0.8090
28029,0.8587
28031,0.8697
28033,0.9528
28035,1.0706
28037,0.9129
28039,1.0528
28041,0.9543
28043,1.0929
28045,1.0307
28047,0.9364
28049,0.7896
28051,0.8102
28053,0.6623
28057,0.9773
28059,0.9076
28061,1.0087
28063,0.8280
28065,0.9869
28067,0.9702
28069,0.9883
28071,0.9753
28073,0.9558
28075,0.9457
28077,0.9155
28079,0.9391
28081,0.9205
28083,0.8525
28085,0.7398
28087,0.7856
28089,0.9088
28091,1.0128
28093,1.0796
28095,0.9687
28097,1.0260
28099,0.9467
28101,0.7825
28103,0.7597
28105,0.8470
28107,1.0333
28109,1.0077
28111,0.7650
28113,0.9331
28115,0.9008
28117,0.9946
28119,1.0177
28121,1.0238
28123,0.8339
28125,0.6875
28127,1.0427
28129,1.0248
28131,0.9083
28133,0.9966
28135,0.9474
28137,0.8986
28139,0.8023
28141,0.9480
28143,0.7980
28145,0.9672
28147,0.8829
28149,0.9741
28151,0.9048
28153,0.8318
28155,1.1284
28157,0.9011
28159,0.8981
28161,1.0026
28163,0.9594
29001,0.8582
29003,1.0227
29005,1.0019
29007,0.9536
29009,0.9446
29011,1.0006
29013,0.9149
29015,0.8320
29017,0.9012
29019,0.8837
29021,0.8492
29023,0.8045
29025,0.9551
29027,0.8320
29029,0.9468
29031,0.7961
29033,0.8951
29035,0.8939
29037,0.9309
29039,1.0382
29041,0.7699
29043,0.9554
29045,0.7839
29047,0.8588
29049,1.0739
29051,0.6882
29053,0.9589
29055,0.8543
29057,0.9573
29059,1.0027
29061,0.9706
29063,1.0036
29065,1.0647
29067,0.9338
29069,0.6698
29071,0.9079
29073,0.9526
29075,0.9943
29077,0.9072
29079,0.9567
29081,0.9147
29083,0.9638
29085,0.9215
29089,1.0002
29091,0.9163
29093,0.8946
29095,0.9109
29097,0.8060
29099,0.8325
29101,0.9787
29103,0.9266
29105,0.8475
29107,0.9717
29109,0.9340
29111,0.8391
29113,0.9106
29115,1.0219
29117,0.8495
29119,0.8744
29121,0.9113
29123,0.7593
29125,0.7771
29127,0.8071
29129,0.8680
29131,0.9637
29133,0.8229
29135,0.9778
29137,0.8412
29139,0.9742
29141,0.8380
29143,0.6885
29145,0.8516
29147,0.9234
29149,0.8923
29151,0.9215
29153,0.9939
29155,0.7799
29157,0.8785
29159,0.9143
29161,0.9006
29163,0.9555
29165,0.9076
29167,0.8784
29169,0.8989
29171,0.7879
29173,0.8214
29175,0.8721
29177,1.0742
29179,0.7565
29181,1.0054
29183,0.9833
29185,0.8967
29186,0.8672
29187,0.7579
29189,0.8737
29195,0.9744
29197,0.8048
29199,0.9670
29201,0.8537
29203,0.9489
29205,0.8325
29207,0.8949
29209,0.8765
29211,0.9372
29213,0.9540
29215,0.8976
29217,0.9772
29219,0.8834
29221,0.8885
29223,0.8957
29225,0.8727
29229,0.8755
29510,0.9732
30001,0.9249
30003,0.9172
30005,0.9548
30009,0.9177
30013,0.8868
30015,0.9560
30017,0.8439
30021,0.9369
30023,0.9211
30027,1.0729
30029,1.0627
30031,0.9463
30035,0.7600
30041,0.9043
30043,0.9505
30047,1.0126
30049,1.0235
30053,1.0363
30061,0.9597
30063,0.9881
30065,1.0143
30067,1.0744
30071,1.1342
30073,0.8599
30077,0.8213
30081,0.9553
30083,0.9004
30085,0.8047
30087,0.7157
30089,0.9366
30093,0.8671
30095,0.9337
30099,1.0334
30105,0.8977
30111,0.9550
31001,1.0600
31003,0.8877
31013,1.0560
31019,0.9477
31021,1.0990
31023,0.7743
31025,0.9429
31027,0.9699
31033,1.1439
31035,1.0724
31037,0.9492
31039,1.0371
31041,0.9486
31043,1.2297
31045,0.9647
31047,1.1054
31051,0.9446
31053,1.0888
31055,0.8764
31065,0.9930
31067,0.9227
31079,1.0180
31081,0.9532
31089,1.0959
31093,0.9408
31095,1.1411
31097,1.0524
31099,0.9571
31101,0.8738
31107,0.9878
31109,0.8540
31111,0.8288
31119,0.9092
31121,0.9480
31123,0.9564
31127,1.1116
31131,0.9185
31137,0.7149
31139,1.1321
31141,0.9442
31143,0.9343
31145,1.1134
31147,0.8558
31151,1.0878
31153,1.1047
31155,0.9821
31157,0.9522
31159,1.1043
31161,1.0795
31173,1.0040
31177,1.1799
31179,0.8176
31185,1.0446
32001,0.9684
32003,0.9239
32005,1.0189
