id,wh_avg
0605670,-3.4936
0605790,-3.9716
0605880,-4.2159
0605910,-4.2010
0606270,-4.4875
0606330,-3.3891
0606360,-3.9230
0606390,-4.3078
0606450,-4.2023
0606480,-3.0086
0606570,-4.4585
0606750,-4.3239
0606780,-2.3079
0606810,-4.5983
0606870,-4.7852
0607140,-3.1918
0607200,-2.5386
0607440,-3.2810
0607470,-3.4202
0607500,-3.2286
0607530,-3.5853
0607560,-3.1274
0607680,-4.9401
0607740,-3.9438
0607800,-4.0038
0607900,-4.6391
0607950,-4.6438
0607970,-4.1730
0607980,-4.0537
0608070,-4.3207
0608130,-4.7222
0608190,-4.4719
0608250,-3.9853
0608370,-3.8824
0608460,-3.9196
0608520,-4.5551
0608610,-3.9751
0608760,-4.2064
0608970,-3.7014
0609030,-4.1694
0609070,-4.3130
0609120,-4.0681
0609330,-4.4339
0609390,-4.4939
0609570,-3.5656
0609640,-3.0612
0609690,-3.6344
0609780,-4.8733
0609850,-3.9921
0609870,-4.2378
0609940,-4.2194
0610050,-4.6265
0610260,-3.2988
0610290,-2.6182
0610440,-4.7269
0610620,-2.7738
0610710,-4.2605
0610740,-3.9255
0610770,-4.8038
0611040,-4.5919
0611110,-3.5517
0611220,-3.0767
0611280,-3.8809
0611460,-4.7711
0611490,-4.5044
0611520,-4.2662
0611850,-4.3699
0611910,-5.0484
0611940,-5.0157
0612030,-4.1678
0612090,-4.1576
0612210,-4.4186
0612330,-3.7005
0612690,-4.6332
0612750,-3.0531
0612810,-4.6539
0612840,-3.8122
0612880,-3.1527
0612930,-3.7397
0612960,-4.4429
0613080,-4.5090
0613140,-2.2331
0613200,-3.9842
0613290,-5.4732
0613360,-3.7027
0613470,-4.0262
0613500,-3.3646
0613800,-3.9474
0613890,-3.5415
0613920,-4.6922
0614070,-4.2727
0614160,-4.6274
0614220,-4.4941
0614250,-3.5065
0614370,-4.1697
0614400,-3.6051
0614550,-3.6829
0614700,-4.5397
0614730,-3.3610
0614790,-4.1912
0614880,-3.7241
0614950,-5.2208
0615180,-3.4235
0615240,-4.2925
0615270,-4.3697
0615510,-2.5414
0615600,-4.7871
0615780,-4.3023
0616050,-5.0709
0616300,-4.5781
0616323,-4.2206
0616325,-4.4608
0616470,-4.3098
0616650,-4.4044
0616680,-5.1977
0616740,-4.2887
0616860,-4.4874
0616920,-4.3876
0617040,-3.7825
0617160,-4.5457
0617220,-4.0810
0617340,-3.8984
0617490,-2.6751
0617850,-3.6954
0618030,-4.0052
0618210,-4.2897
0618730,-3.9534
0618840,-4.3555
0618870,-4.7359
0618990,-4.6550
0619140,-4.2975
0619260,-4.3476
0619320,-4.1921
0619440,-4.5769
0619490,-4.2578
0619620,-4.8226
0619680,-3.3219
0619700,-4.0217
0619770,-4.3919
0619800,-3.9187
0619890,-4.8603
0620040,-4.5391
0620070,-5.1496
0620130,-4.6200
0620190,-3.8259
0620250,-3.7085
0620310,-4.7987
0620370,-3.7816
0620460,-4.0843
0620640,-3.0627
0620670,-4.2837
0620730,-4.5948
0620790,-4.2903
0620880,-4.4663
0620910,-3.3840
0621000,-4.2857
0621210,-4.5171
0621330,-4.2511
0621360,-4.4923
0621450,-4.3612
0621690,-4.2142
0621810,-4.1295
0621870,-4.0573
0621930,-5.0232
0621990,-3.4913
0622050,-4.5468
0622110,-3.5764
0622170,-5.1852
0622230,-4.0291
0622380,-2.8343
0622410,-3.6259
0622500,-3.0258
0622560,-4.8480
0622590,-4.4335
0622650,-2.8715
0622710,-2.8083
0622740,-4.1802
0622830,-4.2608
0622860,-4.2256
0623010,-4.4512
0623080,-3.6043
0623340,-4.0885
0623430,-4.5924
0623530,-2.2247
0623610,-4.6014
0623800,-4.6473
0623940,-4.7042
0623970,-4.9937
0624000,-3.8485
0624030,-4.0501
0624090,-4.6878
0624180,-3.6088
0624360,-3.9935
0624500,-3.4827
0624540,-4.5391
0624570,-2.5501
0624600,-3.8647
0624720,-4.0055
0624750,-4.3032
0624870,-4.2583
0624900,-4.3580
0625130,-3.9292
0625230,-4.7188
0625320,-3.4637
0625470,-4.4014
0625530,-3.5791
0625690,-2.9859
0625740,-4.8893
0625770,-2.8200
0625800,-4.3892
0625830,-2.9505
0625860,-4.7052
0625980,-4.2580
0626100,-3.6754
0626220,-4.5184
0626280,-1.6407
0626370,-2.8974
0626490,-4.6541
0626640,-3.4174
0626670,-4.6688
0626910,-3.8899
0627030,-4.6783
0627060,-4.3335
0627180,-3.3537
0627200,-3.9384
0627240,-2.6593
0627450,-4.7870
0627480,-4.3332
0627590,-4.0433
0627690,-4.0671
0627720,-2.8393
0627780,-4.1088
0627810,-3.2394
0627840,-4.2934
0627850,-4.4206
0627930,-3.9421
0628050,-1.7327
0628080,-4.4548
0628140,-3.6089
0628170,-3.7236
0628250,-3.5516
0628270,-3.6267
0628320,-3.6240
0628470,-4.4025
0628650,-3.2543
0628710,-4.2846
0628950,-4.6315
0629100,-5.0152
0629220,-3.9589
0629370,-4.1585
0629490,-2.6146
0629540,-4.8054
0629550,-4.1154
0629580,-4.4643
0629610,-2.5612
0629640,-4.0937
