id,b_grd
2201920,0.9678
2201950,0.9143
2201980,0.8732
2202010,0.9862
2302610,0.7453
2307320,0.8380
2309930,1.0402
2400030,0.8988
2400060,0.7526
2400090,0.6232
2400120,0.7440
2400150,0.8814
2400180,1.0121
2400210,1.0474
2400240,0.8298
2400270,0.9391
2400300,0.8341
2400330,0.9329
2400390,1.0088
2400420,0.9024
2400450,0.7158
2400480,0.9396
2400510,0.8708
2400540,0.8646
2400570,0.9183
2400600,0.9113
2400630,0.8433
2400660,0.8636
2400690,0.7971
2400720,0.8729
2502310,0.7213
2502790,0.9649
2503090,0.9638
2503150,0.9456
2503270,0.9637
2503300,0.8194
2503540,0.7079
2504770,0.8819
2504830,0.8981
2504890,0.8998
2504950,0.9088
2504980,0.8667
2505970,0.8806
2506780,0.9460
2506840,0.9588
2507020,0.9707
2507110,0.9649
2507170,1.0652
2507560,0.9147
2507980,0.9746
2508430,0.7166
2508610,0.9870
2509060,0.9693
2509630,0.7998
2509870,0.8564
2509930,0.8148
2510050,1.0653
2510380,1.0933
2510890,0.8622
2511130,0.6814
2511250,0.9390
2511520,0.6848
2512000,0.9169
2512270,0.9475
2512840,0.7782
2513200,0.8544
2513230,0.9128
2600005,0.7443
2600015,0.8829
2600016,0.9026
2602070,0.6927
2602820,0.9496
2603540,1.0229
2603690,0.9370
2604260,0.8349
2604500,0.9143
2604830,0.7252
2605010,0.9972
2605430,1.0800
2605850,0.9594
2606090,1.0267
2606780,0.8808
2607230,0.7059
2607890,0.7948
2608070,0.9245
2608430,0.8826
2608580,0.9828
2609570,1.0130
2609840,0.9941
2610080,0.5354
2610590,0.8681
2611600,1.0305
2611610,1.0199
2611640,0.6709
2612000,0.8900
2612450,0.7900
2612600,0.9690
2612930,1.0747
2614070,0.9028
2614280,0.9578
2614460,1.0285
2614520,0.8847
2614550,0.8760
2614610,1.0043
2614820,0.8434
2615540,1.0473
2616110,0.7684
2616350,1.0204
2616410,0.8106
2616440,0.8142
2617520,1.0713
2617760,0.9959
2618030,1.1539
2618330,0.9388
2618420,0.8728
2618480,0.8185
2619140,0.1589
2619620,0.8736
2619950,0.8983
2620070,0.9316
2620160,0.8131
2620340,0.8358
2620730,1.0267
2620850,1.0112
2621120,0.8043
2621150,0.5999
2621570,1.0295
2621600,0.7907
2621840,1.0142
2621870,1.0048
2622290,0.7997
2623460,0.7676
2623850,1.2195
2624120,0.9021
2624150,0.9606
2624690,0.8510
2624720,0.7825
2624840,0.8501
2624870,0.7853
2625230,0.9042
2625560,0.8634
2625740,0.9590
2625980,1.0448
2626130,0.8836
2626190,0.7801
2626280,1.1477
2626760,0.9204
2628560,1.0597
2628740,0.7896
2628830,0.9375
2628950,0.8822
2629460,0.9263
2629760,1.0203
2629940,1.0796
2630120,0.7831
2630210,0.9628
2630300,0.9935
2630390,0.8135
2630450,0.8832
2632220,0.9214
2632280,0.9168
2632300,1.0586
2632310,0.8295
2632340,0.8479
2633420,0.8906
2633540,1.0548
2634260,0.9645
2634470,1.0118
2634560,0.8115
2634680,0.9244
2635160,0.9470
2635190,0.9002
2635220,0.9887
2635310,0.8949
2635520,0.9940
2635820,0.7975
2635970,0.8814
2636450,0.8922
2636485,0.9515
2636570,0.8225
2636630,0.9648
2700161,0.7297
2703180,0.9979
2703450,0.8884
2705790,0.9300
2706240,0.6423
2707290,0.8394
2708190,0.8650
2709510,0.8510
2711040,0.8144
2711250,0.9831
2711370,1.0263
2711760,0.6444
2712420,0.8755
2714220,0.9087
2714260,0.9185
2715030,0.8826
2717780,1.0101
2718780,0.8572
2721240,0.9062
2721420,0.7230
2722950,1.0116
2723850,0.8826
2725200,1.0167
2728050,0.9644
2730060,1.0568
2731750,0.9373
2731780,0.7541
2731800,0.8901
2732390,0.9168
2732430,0.7968
2733000,0.9593
2733330,0.8890
2733510,0.6424
2733780,0.7539
2733810,1.0653
2733840,0.8088
2738190,0.9312
2742160,0.8984
2742270,0.7874
2742360,1.0266
2742720,0.9198
2800360,0.8445
2800420,1.0608
2800450,1.0638
2800510,0.9635
2800540,0.9919
2800570,1.0018
2800600,1.0452
2800630,0.8949
2800660,0.9783
2800720,0.8245
2800750,0.7552
2800780,0.9348
2800810,1.2316
2800820,0.9111
2800840,0.6823
2800870,0.9232
2800900,0.7611
2800930,0.9292
2800990,0.9597
2801020,0.7729
2801050,0.7901
2801090,0.9094
2801110,0.8792
2801140,1.1020
2801170,0.8538
2801200,0.6534
2801220,0.7116
2801260,0.7898
2801290,0.9072
2801320,0.9433
2801360,0.9046
2801380,1.0388
2801410,0.7184
2801470,0.8869
2801490,1.0836
2801530,0.9165
