id,p_avg
13309,-1.2141
13311,-0.3719
13313,-1.0434
13315,-1.3617
13317,-0.9583
13319,-1.0861
13321,-1.1814
15003,-1.2495
16001,-0.7108
16003,-0.4528
16005,-0.3310
16007,-0.3816
16009,-1.0763
16011,-1.0965
16013,-0.6993
16015,-0.3876
16017,-0.1175
16019,-0.8358
16021,-0.6485
16023,-0.6707
16027,-0.8295
16029,-0.3048
16031,-0.9354
16035,-0.8091
16037,-0.8421
16039,-1.2768
16041,-0.4539
16043,-0.7967
16045,-0.5613
16047,-1.0863
16049,-0.6756
16051,-0.3567
16053,-1.1726
16055,-0.0584
16057,-0.4808
16059,-0.4209
16061,-0.7430
16063,-0.9422
16065,0.2915
16067,-0.7122
16069,-0.7791
16071,-0.3731
16073,-0.9702
16075,-0.5267
16077,-0.9669
16079,-0.8789
16081,-1.6807
16083,-0.6233
16085,0.0634
16087,-0.4533
17001,-1.2995
17003,-1.7317
17005,-0.6465
17007,-1.1024
17009,-0.8790
17011,-1.1133
17013,-0.1983
17015,-0.8513
17017,-1.8869
17019,-1.4992
17021,-0.8018
17023,-0.5426
17025,-0.8377
17027,-0.4159
17029,-0.7841
17031,-1.1415
17033,-1.1263
17035,-0.8297
17037,-0.9599
17039,-1.1988
17041,-0.9158
17043,-0.8194
17045,-0.6811
17047,-1.0602
17049,-0.5187
17051,-1.4056
17053,-0.3581
17055,-1.3428
17057,-1.1384
17059,-1.2203
17061,-1.0637
17063,-0.4262
17065,-0.8994
17067,-0.9571
17069,-1.4550
17071,-0.7695
17073,-1.0229
17075,-0.3747
17077,-1.3213
17079,-0.4728
17081,-1.4219
17083,-0.4911
17085,-0.5892
17087,-0.6602
17089,-1.3251
17091,-1.2640
17093,-0.6833
17095,-0.9154
17097,-1.3465
17099,-1.0648
17101,-0.7855
17103,-1.0710
17105,-0.5457
17107,-0.8879
17109,-0.8189
17111,-0.8314
17113,-1.0885
17115,-1.5040
17117,-0.6942
17119,-1.3258
17121,-1.0207
17123,-0.2932
17125,-0.7772
17127,-0.2297
17129,-1.1887
17131,-0.7637
17133,0.1317
17135,-1.1710
17137,-0.9394
17139,-0.4986
17141,-0.7925
17143,-1.6023
17145,-1.1688
17147,-0.5353
17149,-1.2760
17151,-1.3801
17153,-2.0802
17155,-0.6420
17157,-1.2669
17159,-0.9905
17161,-1.6296
17163,-1.3601
17165,-1.5809
17167,-1.4243
17169,-0.9926
17171,-1.0140
17173,-0.3544
17175,-0.6596
17177,-1.3540
17179,-0.7825
17181,-1.1174
17183,-1.5159
17185,-0.9615
17187,-1.1097
17189,-0.8740
17191,-0.4796
17193,-1.0552
17195,-0.5959
17197,-0.8810
17199,-0.9636
17201,-1.5178
17203,-0.5702
18001,0.0444
18003,-0.6539
18005,-0.7439
18007,-0.3541
18009,-0.1455
18011,-0.0284
18013,0.1109
18015,-0.0497
18017,-0.7092
18019,-0.5968
18021,-0.2413
18023,-0.8768
18025,0.4078
18027,-0.4019
18029,-0.3256
18031,0.0818
18033,-0.3539
18035,-0.5632
18037,0.0054
18039,-0.7667
18041,0.0802
18043,-0.3569
18045,-0.6305
18047,-0.2694
18049,-0.1784
18051,-0.2278
18053,-0.6797
18055,-0.3182
18057,0.1688
18059,-0.2672
18061,-0.0277
18063,0.3947
18065,-0.2668
18067,-0.6523
18069,-0.2571
18071,-0.5554
18073,-0.0934
18075,0.2361
18077,-0.6791
18079,-0.0111
18081,0.0362
18083,-0.5638
18085,-0.2980
18087,-0.1801
18089,-0.8450
18091,-0.3071
18093,-0.6104
18095,-0.7175
18097,-0.8201
18099,-0.1085
18101,-0.3428
18103,-0.2302
18105,-0.5073
