id,b_ses
0616650,-2.1366
0616680,-1.4429
0616740,-1.5333
0616920,-2.8697
0617760,2.1454
0617850,-0.1612
0618030,1.9279
0618060,-0.5396
0618210,1.0429
0618390,-0.6683
0618730,2.3979
0618840,2.0815
0618870,0.1995
0618930,0.1600
0618990,-0.0994
0619260,-1.0855
0619320,-0.7118
0619440,1.3766
0619540,-1.6280
0619620,-5.4307
0619650,-0.4627
0619680,-0.9388
0619950,1.0377
0620070,-3.5810
0620190,1.6944
0620250,-0.3840
0620310,0.4265
0620370,2.6306
0620460,-1.4165
0620670,-3.2570
0620730,1.9511
0620760,-1.5084
0620790,0.2403
0620820,0.9794
0620880,-2.6191
0621000,1.0333
0621090,1.6174
0621210,-0.0251
0621330,-1.4926
0621360,1.0787
0621400,-0.6667
0621420,-1.6083
0621600,0.5907
0621690,-1.7472
0621810,-3.8982
0621870,0.9425
0621930,-1.9195
0622050,1.3318
0622110,-2.3238
0622170,-4.1396
0622230,-1.0696
0622380,2.1934
0622410,-0.5345
0622500,-1.3944
0622590,0.5781
0622710,-1.8304
0622740,-0.6538
0622830,2.2377
0623010,0.5854
0623080,1.3166
0623160,-1.9651
0623340,-1.4107
0623430,-1.9029
0623610,0.3258
0624000,1.0175
0624030,-1.7515
0624090,-1.0476
0624180,1.5808
0624500,-0.4032
0624540,-0.1583
0624600,-1.2417
0624660,-1.6537
0624750,-6.6968
0624900,0.7400
0625130,-4.2971
0625150,-1.5767
0625230,-3.1440
0625320,0.5341
0625470,-2.6757
0625530,-0.2882
0625690,1.6196
0625770,1.0463
0625800,-1.0706
0625830,0.8600
0625860,-2.0663
0626190,-1.7495
0626220,2.1930
0626280,-0.2276
0626310,0.1945
0626370,-0.7702
0626400,2.9479
0626490,-3.5013
0626640,-0.6200
0626760,0.1789
0626880,0.4059
0626910,-0.8540
0627060,-0.6704
0627180,0.9052
0627200,-6.1646
0627240,0.3843
0627450,1.9900
0627480,-1.4953
0627510,1.3318
0627590,1.0968
0627690,0.1191
0627720,-1.3532
0627810,0.9442
0627850,2.3979
0628050,-2.5086
0628080,-0.0723
0628140,-0.2401
0628170,-0.8337
0628250,0.6724
0628470,-0.9633
0628530,-0.7644
0628650,0.2758
0628680,-0.1722
0628710,1.2670
0629100,-7.8606
0629130,-0.4722
0629220,-1.9448
0629270,-0.0111
0629370,-0.8618
0629430,1.1970
0629490,-1.7905
0629550,-1.8422
0629580,-2.3869
0629610,0.7479
0629640,-1.0650
