id,m_coh
0901110,-0.0393
0901170,0.0034
0901200,0.0380
0901230,-0.0814
0901260,-0.0162
0901290,-0.0712
0901320,0.0366
0901350,-0.0142
0901410,-0.0811
0901440,0.0662
0901470,-0.0920
0901500,0.0383
0901530,-0.0100
0901560,-0.0365
0901620,0.0793
0901680,-0.1284
0901710,0.0508
0901740,0.0749
0901770,0.0200
0901800,0.0349
0901860,0.0108
0901920,0.0036
0902010,-0.1004
0902070,-0.0077
0902130,0.0261
0902160,-0.0901
0902190,0.0289
0902220,0.1051
0902280,-0.0023
0902310,-0.1143
0902340,0.0419
0902370,-0.0249
0902400,-0.0277
0902490,-0.0113
0902520,-0.0324
0902550,0.0431
0902580,0.0096
0902640,-0.0057
0902670,0.0116
0902700,0.0030
0902730,-0.0148
0902760,-0.1930
0902790,-0.0112
0902820,-0.0066
0902850,-0.0584
0902880,-0.0330
0902910,-0.0326
0902970,0.0176
0903030,0.0411
0903060,0.1589
0903090,-0.0243
0903120,-0.0869
0903180,0.0454
0903210,-0.0172
0903240,-0.0504
0903270,-0.0374
0903300,-0.0850
0903330,-0.0250
0903360,0.1378
0903390,0.0811
0903420,0.0849
0903450,-0.0742
0903480,0.0787
0903510,-0.0133
0903515,-0.0707
0903520,0.0204
0903530,0.0322
0903535,-0.0323
0903536,-0.0641
0903537,0.0036
0903538,0.0351
0903539,-0.0270
0903540,0.1123
0903810,-0.0218
0903840,-0.0170
0903900,0.0827
0903990,-0.0326
0904050,0.0354
0904110,-0.0531
0904140,0.0403
0904170,0.0381
0904230,-0.0377
0904290,-0.0149
0904320,0.0182
0904350,0.0112
0904380,0.1066
0904440,-0.1432
0904470,-0.0760
0904500,-0.0460
0904530,-0.0653
0904560,0.0339
0904590,-0.0240
0904620,0.0346
0904680,-0.0876
0904740,-0.0576
0904830,-0.0957
0904860,-0.0032
0904890,-0.0287
0904920,0.0060
0904950,0.0506
0904980,0.1473
0905010,-0.0555
0905040,0.0436
0905070,-0.0467
0905100,-0.0222
0905130,-0.1128
0905160,-0.0047
0905190,0.1237
0905220,-0.0152
0905250,-0.0729
0905280,-0.0991
0905310,-0.0463
0905370,0.0141
1000080,0.0282
1000170,0.0630
1000180,0.0381
1000190,0.0337
1000200,-0.0888
1000230,0.0097
1000270,0.0105
1000680,-0.0779
1000790,0.0409
1000810,-0.0878
1001080,-0.1227
1001240,-0.0434
1001300,-0.0378
1001530,-0.0594
1001620,0.0646
1001850,-0.1146
1100030,0.1607
1200030,0.0508
1200060,-0.0336
1200090,-0.0428
1200120,-0.0147
1200150,-0.0435
1200180,-0.0140
1200210,-0.0275
1200240,-0.0654
1200270,0.0258
1200300,-0.0113
1200330,0.0586
1200360,0.0485
1200390,0.0615
1200420,-0.1310
1200450,-0.0046
1200480,0.0408
1200510,0.0102
1200540,0.0687
1200570,0.0397
1200600,0.0849
1200630,-0.0354
1200660,-0.0517
1200690,-0.0386
1200720,0.0541
1200750,0.0306
1200780,-0.0072
1200810,0.0318
1200840,0.0183
1200870,0.0176
1200900,0.0056
1200930,-0.0094
1200960,0.0328
1200990,0.0721
1201020,0.0467
1201050,-0.0094
1201080,0.0016
1201110,0.0451
1201140,0.0064
1201170,0.0671
1201200,0.0549
1201230,0.0276
1201260,-0.0649
1201290,-0.0467
1201320,-0.0431
1201350,0.0355
1201380,-0.0267
1201410,0.0044
1201440,0.0312
1201470,0.0375
1201500,0.0042
1201530,0.0194
1201560,0.0122
1201590,0.0137
1201620,-0.0480
1201650,-0.0234
1201680,0.0548
1201710,-0.0268
1201740,0.0763
1201770,-0.0014
1201800,0.0493
1201830,-0.0256
1201860,-0.0401
1201890,0.0835
1201920,0.0021
1201950,-0.0221
1201980,0.0000
1202010,0.0200
1202012,0.1120
1202015,-0.0441
1300001,0.0102
1300060,-0.1123
1300090,0.1131
1300120,-0.0393
1300150,0.0567
1300210,-0.0609
1300240,0.0302
1300290,0.0586
1300330,0.0180
1300360,0.1003
1300390,0.1839
1300420,-0.0167
1300440,0.0123
1300480,0.0777
1300510,0.0925
1300540,0.0083
1300570,0.0592
1300600,0.1457
1300630,0.0366
1300660,-0.0169
1300690,-0.0226
1300720,-0.0313
1300750,0.0228
1300780,0.0090
1300810,0.0374
1300840,0.0845
1300870,-0.0250
1300900,0.0774
1300930,0.0686
1300990,0.1065
1301020,0.0292
1301050,-0.0131
1301080,0.0535
1301110,-0.0067
1301140,0.1139
1301170,0.0097
1301230,-0.0479
1301260,-0.0261
1301290,0.0277
1301350,0.0628
1301380,-0.0562
1301410,0.0600
1301440,0.0021
1301470,0.0294
1301500,0.0613
1301530,-0.0486
1301560,-0.0996
1301590,0.0607
1301620,-0.0744
1301650,0.0723
1301680,0.1829
1301710,-0.0071
1301740,-0.0238
1301770,-0.0024
1301800,-0.0084
1301830,-0.0268
1301860,0.0652
1301870,-0.0550
1301890,-0.0016
1301920,0.0234
1301950,0.0438
1301980,0.0640
1302010,0.0281
1302040,-0.0224
1302070,-0.0609
1302100,0.0767
1302130,0.0001
1302190,-0.0399
1302220,0.1010
1302250,0.0186
1302280,-0.0002
1302310,-0.0369
1302340,0.0295
1302370,0.1197
1302400,0.0258
1302430,0.0472
1302460,-0.0280
1302490,0.1461
1302520,0.0128
1302550,0.0046
1302580,0.0587
1302610,0.0388
1302640,-0.0819
1302670,0.0984
1302700,0.1174
1302730,-0.0010
1302790,0.1863
1302820,0.0068
1302880,-0.0381
1302910,-0.0477
1302940,0.0130
1302970,-0.0361
1303000,-0.0766
1303030,0.0271
1303060,-0.0792
1303090,-0.0967
1303120,-0.0125
1303150,0.0621
1303210,0.0009
1303240,0.0057
1303270,0.0745
1303300,-0.0204
1303330,-0.0028
1303360,0.0264
1303390,0.0504
1303420,0.1071
1303450,-0.0674
1303480,0.1178
1303510,0.0692
1303540,0.0104
1303570,0.0166
1303600,0.0872
1303630,-0.0441
1303660,0.0044
1303690,-0.0107
1303720,0.0208
1303750,-0.0493
1303780,-0.0348
1303840,-0.0037
1303870,0.0011
1303930,0.0584
1303960,0.0290
1303990,0.0371
1304020,0.0803
1304050,-0.0038
1304080,-0.0721
1304110,-0.0459
