id,pn_grd
0606570,-0.0510
0606750,0.0889
0606780,0.0278
0606810,0.0272
0606870,0.0409
0606900,0.1178
0607140,-0.0261
0607200,0.0264
0607440,0.0586
0607500,-0.0197
0607530,-0.0084
0607560,0.0571
0607680,-0.0657
0607740,0.0111
0607800,-0.0349
0607900,-0.0088
0607950,-0.0027
0607970,0.0095
0607980,-0.0200
0608070,-0.0522
0608130,-0.0466
0608190,0.0080
0608370,0.0607
0608460,0.0017
0608520,0.0278
0608610,-0.0138
0608760,0.0503
0608970,-0.0986
0609030,0.0011
0609120,-0.0974
0609390,0.0373
0609450,-0.0084
0609480,0.0178
0609570,0.0540
0609620,-0.0532
0609640,0.0556
0609690,-0.0152
0609780,-0.0889
0609850,0.0120
0609940,-0.0800
0609990,0.0487
0610050,-0.0291
0610260,0.0728
0610290,0.0720
0610320,0.0916
0610440,-0.1674
0610620,0.1214
0610740,0.0210
0610770,0.0421
0610890,0.0163
0611040,-0.0595
0611110,0.0101
0611220,0.0617
0611280,-0.1054
0611460,0.0197
0611490,-0.0305
0611520,-0.0177
0611730,0.0044
0611850,0.0360
0611910,-0.0506
0612030,0.0608
0612090,-0.0591
0612180,0.0613
0612210,0.0318
0612330,0.0271
0612690,0.0454
0612750,-0.0843
0612810,-0.0010
0612840,-0.0884
0612880,-0.0952
0612960,0.0197
0613080,-0.0500
0613140,-0.0102
0613170,0.0067
0613200,0.0456
0613290,0.1911
0613360,0.0647
0613470,0.0208
0613500,0.0509
0613800,0.0042
0613890,0.0185
0613920,-0.1273
0614070,-0.0580
0614220,-0.0020
0614250,-0.0308
0614370,0.1343
0614400,0.1196
0614550,-0.1818
0614700,0.0614
0614730,0.1444
0614790,-0.0791
0614880,0.0209
0614940,0.0166
0614950,0.0435
0615180,0.0247
0615240,0.0806
0615270,0.0570
0615510,0.0149
0615780,0.0785
0616050,-0.0477
0616080,0.1005
0616300,-0.0466
0616323,-0.0682
0616325,-0.0758
0616470,-0.0718
0616650,-0.0088
0616680,-0.0574
0616740,-0.0709
0616920,0.0438
0617160,0.0905
0617220,-0.0802
0617340,-0.0989
0617430,-0.0006
0617490,0.0871
0617850,-0.1756
0618030,-0.0125
0618210,-0.0573
0618390,-0.1292
0618840,-0.0003
0618870,-0.0204
0618990,0.0278
0619140,0.0218
0619260,-0.0251
0619320,0.0357
0619440,-0.0918
0619490,-0.0336
0619590,-0.0172
0619620,0.1801
0619680,-0.0563
0619700,-0.0262
0619770,0.0485
0619800,0.0313
0620070,-0.0863
0620190,-0.0376
0620250,-0.0409
0620370,0.0266
0620460,0.0669
0620640,-0.0112
0620670,-0.0611
0620730,-0.0163
0620790,0.0209
0620880,0.0284
0621000,0.0433
0621210,0.0087
0621330,-0.0936
0621360,-0.0289
0621420,-0.0496
0621450,-0.0751
0621690,0.0021
0621810,-0.0617
0621930,-0.0296
0621990,-0.0059
0622050,-0.0373
0622110,0.0795
0622170,0.1204
0622230,-0.0063
0622410,-0.0423
0622500,-0.0255
0622560,0.0577
0622590,-0.0610
0622650,0.0439
0622710,-0.0879
0622740,-0.0178
0623010,-0.0588
0623080,-0.0449
0623160,-0.0020
0623340,0.0108
0623430,-0.0402
0623530,0.0386
0623610,-0.0315
0623800,0.0079
0623940,0.0936
0623970,0.0280
0624000,-0.0222
0624030,-0.0006
0624090,0.0299
0624180,0.0329
0624300,0.0863
0624360,-0.0288
0624500,0.0302
0624540,0.0059
0624600,-0.0726
0624720,0.0182
0624750,-0.1234
0624900,0.1264
0625130,-0.0473
0625190,0.0626
0625230,-0.0022
0625320,0.0273
0625470,-0.0892
0625530,-0.1075
0625690,0.0532
0625770,0.1531
0625800,0.0311
0625830,-0.0073
0625860,-0.0044
0625980,0.0799
0626040,0.0195
0626100,0.1179
0626190,0.0302
0626220,-0.0180
0626280,-0.0299
0626370,0.0303
0626400,-0.0830
0626490,0.1652
0626640,-0.0099
0626820,0.0989
0626910,0.0004
0627030,0.0616
0627060,0.0105
0627180,0.0632
0627200,-0.0888
0627240,-0.0762
0627450,0.0986
0627480,0.0163
0627590,-0.1265
0627690,-0.0627
0627720,-0.0283
0627780,-0.0681
0627810,-0.0143
0627840,-0.0366
0628050,0.1005
0628080,0.0075
0628140,0.0731
0628170,-0.0441
0628250,0.0302
0628270,-0.0259
0628320,0.0709
0628470,-0.0219
0628650,-0.0211
0628680,-0.0163
0628710,-0.0189
0628950,0.0807
0629100,-0.0442
0629220,0.0232
0629280,-0.0351
0629370,0.1400
0629430,-0.0235
0629490,-0.0655
0629540,-0.0092
0629550,0.0489
0629580,-0.0441
0629610,0.1350
0629640,-0.0613
0629820,0.0475
0629850,-0.0319
0629940,0.1521
0630030,-0.0376
0630180,0.0837
0630230,0.0738
0630360,-0.0864
0630450,-0.0504
0630510,0.0709
0630600,-0.0123
0630660,0.0192
0630720,-0.0018
0630780,0.0106
0630930,0.1017
0630990,0.0301
0631170,0.0421
0631180,-0.0443
0631290,0.0342
0631320,-0.1765
0631530,0.0685
0631710,-0.0537
0631860,0.1437
0631980,-0.0447
0632040,0.0680
0632070,0.0895
0632130,-0.0888
0632310,0.0131
0632370,0.1322
0632550,-0.0353
0632610,-0.0086
0632640,-0.0051
0632710,0.0074
0632760,-0.1030
0632880,-0.0274
0633110,-0.0392
0633150,0.0077
0633390,0.0505
0633480,0.0226
0633570,0.0301
0633600,0.0082
0633750,0.0147
0633840,-0.0097
0633860,-0.0162
0633900,-0.0256
0633930,-0.0508
0634170,0.0137
0634230,-0.0328
0634320,0.0228
0634410,0.0558
0634425,0.0076
0634440,0.0275
0634590,0.0846
0634620,0.0790
0634680,0.0478
0634710,0.0063
0634740,0.1057
0634800,0.0418
0634880,-0.0008
0634920,0.0277
0635010,-0.0321
0635090,0.0525
0635130,0.0340
0635220,-0.0447
0635250,0.0197
0635310,0.3311
0635360,-0.0162
0635430,0.0826
0635700,-0.0184
0635730,0.0531
0635790,-0.0431
0635810,-0.0168
0635880,0.0191
0635970,-0.0875
0636030,-0.0236
0636180,0.0574
0636270,-0.0383
0636800,0.1078
0636805,0.0209
0636820,0.0119
0636840,0.0266
0636970,0.0159
0636990,0.0539
0637050,-0.0731
0637200,-0.0269
0637230,0.0620
0637290,0.0431
0637350,-0.0365
0637380,-0.0936
0637500,0.0529
0637530,0.0434
0637560,-0.0083
0637620,-0.0119
0637830,0.1095
0637890,0.1276
0637950,0.0374
0638010,-0.0782
0638220,0.0118
0638340,0.0553
0638460,0.0342
0638550,0.0072
0638670,0.0422
0638700,0.0179
0638770,0.0017
0638880,0.0906
0638980,0.0031
0639000,0.0490
0639180,-0.0409
0639420,0.0478
0639630,0.1118
0639870,0.0502
0640150,-0.0646
0640300,0.0254
0640320,0.0482
0640590,0.0610
0640680,0.0963
0640740,-0.0181
0640980,0.0183
0641040,0.0354
0641160,-0.1035
0641190,0.0137
0641250,-0.0163
0641280,0.0458
0641400,-0.0615
0641580,0.0027
0641880,-0.0415
0642000,0.0508
0642120,0.0046
0642140,0.0847
0642150,-0.0233
0642330,0.0841
0642450,-0.0473
0642710,-0.0915
0642930,-0.0709
0642990,-0.0868
0643080,0.0249
0643200,0.0521
0643380,-0.0086
0643470,0.0010
0643560,0.0169
0684500,0.0338
0691026,0.2527
0691035,0.5811
0691078,0.0803
0691135,0.0295
0691136,-0.0766
0801920,0.0515
0801950,0.0362
0802340,-0.0287
0802490,0.0944
0802580,0.1111
0802790,0.0289
0802910,0.0466
0803060,0.0600
0803330,0.1340
0803360,0.0220
0803450,0.0917
0803480,0.1337
0803540,0.0354
