id,h_coh
1302310,0.0047
1302340,0.0141
1302400,0.0232
1302430,0.0400
1302460,-0.0167
1302520,0.0424
1302550,0.0497
1302580,0.0504
1302610,0.0402
1302820,0.0553
1302880,-0.0097
1302940,0.0209
1303000,-0.0963
1303300,-0.0022
1303360,-0.0123
1303390,0.0062
1303420,0.0981
1303480,0.0753
1303510,0.0607
1303840,-0.0196
1303870,0.0032
1303930,0.0545
1303960,0.0808
1304020,0.0941
1304050,0.0533
1304200,-0.0652
1304320,0.0737
1304380,0.0249
1304410,0.0418
1304440,-0.0371
1304620,-0.1363
1304770,0.0779
1304980,-0.0082
1305040,0.0481
1305310,0.0196
1305390,0.0837
1305430,0.1267
1305550,0.1248
1305700,0.0401
1500030,0.0697
1600030,-0.0287
1600060,0.0225
1600270,-0.0239
1600300,0.0672
1600360,0.0046
1600480,0.0198
1600510,-0.0550
1600600,0.0508
1600660,-0.0149
1600780,0.0904
1600930,0.0218
1601020,-0.1059
1601110,0.0099
1601140,-0.0476
1601260,-0.1593
1601470,-0.0400
1601530,-0.0203
1601570,-0.0040
1601590,-0.0420
1601770,0.0871
1601980,0.0085
1602100,0.1133
1602130,-0.0017
1602190,0.0746
1602250,0.0259
1602340,-0.0102
1602550,0.0741
1602580,-0.0135
1602640,0.0012
1602670,0.1308
1602910,-0.0505
1602970,-0.0162
1603180,0.0182
1603240,-0.0378
1603270,-0.0382
1603330,0.0112
1603360,-0.0989
1603480,-0.0356
1700010,-0.0163
1700077,0.1212
1700110,0.0848
1700112,-0.0517
1700119,-0.0468
1700320,-0.0880
1703150,0.0065
1703480,0.0988
1703840,0.0492
1703930,0.0052
1703960,0.1105
1704050,0.0771
1704140,0.1378
1704560,-0.0003
1704680,0.0271
1704710,-0.0142
1705050,0.1347
1705220,0.0187
1705310,-0.0162
1705760,0.0353
1705790,0.0051
1705910,-0.0692
1706000,-0.0349
1706060,0.0708
1706090,-0.0344
1706270,0.0044
1706480,-0.0162
1706510,0.0169
1706750,-0.0041
1706930,0.0830
1707170,0.1163
1707290,0.1214
1707320,-0.1511
1707830,0.1080
1708100,0.0937
1708130,0.0132
1708550,0.1182
1708730,0.0387
1709420,-0.1267
1709930,0.1109
1709960,0.0345
1709990,-0.0170
1710200,-0.0013
1710470,0.0610
1710650,-0.0178
1711250,0.0773
1711350,0.0823
1711790,0.0394
1712000,-0.0293
1712090,0.0452
1712120,0.0842
1712210,-0.0172
1712540,-0.0105
1713140,0.0096
1713170,-0.0311
1713710,0.0169
1713770,-0.0455
1713970,0.0396
1714100,0.0135
1714460,0.1164
1714550,0.0806
1715420,0.0094
1715480,0.1190
1715780,0.1182
1715900,-0.0888
1715930,0.1189
1716080,-0.0970
1716290,0.0402
1716380,0.1079
1716410,0.0396
1716800,0.0718
1716920,0.0538
1716950,0.0850
1717040,0.0010
1717280,-0.0378
1717520,0.1228
1717800,-0.0809
1718240,0.0503
1718420,0.0446
1718450,-0.0625
1718480,0.0799
1718570,0.0675
1719230,-0.0156
1719290,0.0931
1719500,0.1476
1719530,-0.0713
1719680,-0.0672
1719830,0.0586
1720180,0.0741
1720580,-0.0204
1720760,-0.0855
1720880,0.1019
1721000,0.0230
1721030,0.1957
1721270,0.1020
1721420,-0.0414
1721450,-0.0316
1721600,0.1738
1721630,0.1120
1721870,-0.0011
1721900,0.1467
1722020,0.0750
1722080,-0.2169
1723460,0.0704
1723850,-0.0079
1724330,0.0041
1724480,0.0707
1724720,0.0678
1724780,0.0150
1725110,0.0462
1725290,0.1479
1725620,0.0722
1725920,0.0739
1726310,0.0681
1726400,-0.0691
1727540,-0.0160
1727710,0.1299
1728140,0.0634
1728620,-0.0243
1728700,0.0426
1728890,0.0633
1729190,0.0782
1729250,0.0700
1730220,-0.0157
1730270,0.0566
1730300,0.0347
1730420,-0.0075
1730840,0.0830
1731230,-0.0693
1731740,0.0924
1731770,0.1172
1732370,0.0337
1732850,0.0130
1732970,0.0464
1733210,-0.0964
1733390,0.0656
1733450,0.0830
1733690,0.0043
1733840,0.0637
1733870,0.1543
1733990,0.1117
1734260,-0.0476
1734350,-0.0793
1734410,-0.0661
1734510,0.0457
1734740,0.1842
1734990,0.0438
1735370,0.1081
1735640,-0.0469
1736450,0.0428
1736480,0.0305
1736750,-0.0476
1736810,0.1019
1737080,0.0667
1737170,0.0589
1737680,-0.1156
1737860,0.0112
1738220,0.0637
1738460,0.1250
1739030,0.1014
1739510,0.0302
1739960,-0.0916
1740070,0.1105
1740350,0.0291
1740500,0.1354
1741190,-0.0440
1741250,-0.0034
1741520,0.0956
1741550,-0.0175
1741690,0.0740
1741790,0.0547
1742180,0.0783
1742210,0.0356
1742310,-0.0479
1743020,-0.0060
1743110,0.0841
1743330,0.0249
1743860,0.0086
1743960,0.0948
1800030,-0.0151
1800150,0.2795
1800270,0.0214
1800360,0.2125
1800630,0.0864
1800900,0.0192
1801020,0.2930
1801200,0.0112
1801890,-0.0210
1802400,0.0988
1802460,0.0438
1802490,0.0990
1802640,0.0736
1802800,0.1177
1802850,0.1549
1802880,0.0302
1802910,0.1596
1803270,0.1437
1803450,0.1549
1803630,0.0696
1803660,0.0833
1803750,0.1916
1803930,0.2547
1803940,0.0571
1803960,0.1322
1804110,0.1952
1804170,0.1124
1804320,0.1150
1804560,0.0521
1804590,0.0992
1804620,-0.0140
1804770,0.0200
1805280,-0.0241
1805400,0.1120
1805450,0.0856
1805460,0.1224
1805520,0.0550
1805550,0.0477
1805580,0.0591
1805670,0.1018
1806030,0.1609
1806390,0.1426
1806570,0.1240
1806600,0.0700
1807350,0.1648
1807410,0.0448
1807650,0.1194
1808760,0.1497
1808820,0.0223
1808910,0.1008
1809060,0.1125
1809150,0.0855
1809690,0.1140
1810080,-0.0141
1810140,0.1763
1810290,0.0069
1810650,0.0645
1810870,-0.0289
1811340,0.1845
1811460,0.1410
1811580,0.1293
1811970,0.0398
1812090,0.0975
1812360,0.0934
1812420,0.1333
1812450,-0.0334
1812720,0.0973
1812810,0.1049
1812900,0.1520
1813080,-0.0385
1813200,0.0704
1903690,0.1069
1904860,0.0345
1906540,0.0039
1907410,-0.0895
1907710,0.1061
1907980,0.0361
1908220,-0.0413
1908580,-0.0418
1908910,0.1317
1908970,0.0223
1909480,0.0160
1911820,-0.1285
1913470,0.0089
1914700,0.0921
1915450,0.1204
1916680,0.0878
1918720,0.0904
1918780,-0.0493
1920130,-0.0964
1922110,0.0248
1922530,0.0576
1923340,-0.0059
1926400,0.0914
1926730,0.0921
1926820,0.0586
1927390,0.0850
1930240,0.0282
1930480,0.1170
1930510,0.0124
1930930,0.1035
1930990,0.0618
2003200,-0.0410
2003360,-0.0342
2003450,-0.1003
2004050,-0.0321
2005460,0.0287
2005490,0.0956
2005580,-0.0553
2005940,0.0255
2006390,-0.0706
2006420,0.0180
2006540,0.0097
2006660,-0.1197
2007050,0.0497
2007350,0.0066
2007560,-0.1601
2007620,0.0152
2007890,-0.0931
2007950,-0.0648
2008190,-0.0763
2008400,0.0316
2008430,0.0261
2008730,0.0421
2009030,-0.0930
2009140,-0.0174
2009180,0.0098
2009960,-0.1161
2010140,-0.0786
2010710,0.0438
2011370,-0.0476
2011640,0.0027
2012000,0.0584
2012180,0.0075
2012260,-0.0074
2012360,-0.1476
2012420,-0.0781
2012990,0.0113
2100510,-0.0225
2100570,0.0196
2101150,-0.0473
2101470,-0.0429
2101860,-0.1030
2102490,0.1127
2102990,0.0325
2103090,0.0774
2103900,-0.1468
2104530,0.0438
2105260,-0.0387
2105320,-0.0128
2105730,-0.0604
2106000,-0.0098
2200090,0.1375
2200270,0.0979
2200300,-0.0027
2200330,0.0254
2200540,0.0128
2200720,0.1185
2200840,0.0047
2200870,-0.0560
2200900,0.0819
2201020,0.0758
2201170,-0.0462
2201200,-0.0604
2201230,0.0644
2201290,-0.0708
2201410,0.0025
2201440,0.0604
2201530,0.0163
2201620,0.0473
2201650,0.0049
2201680,-0.0003
2201740,0.0010
2201770,0.0309
2201830,0.0977
2309930,0.1070
2400060,-0.0401
2400090,-0.2326
2400120,-0.0844
2400150,-0.0606
2400180,-0.0550
2400210,0.0262
2400240,-0.0266
2400270,-0.0441
2400330,0.0442
2400390,0.0797
2400420,-0.0027
2400480,-0.0441
2400510,-0.0696
2400600,-0.0886
2400630,0.0029
2400660,-0.0800
2400690,-0.0289
2400720,-0.0892
2501890,-0.0975
2502190,0.0615
2502640,-0.0031
2502790,0.0538
2503090,-0.0175
2503150,0.0154
2503270,0.0868
2503540,-0.0396
2503660,0.1783
2503750,-0.0313
2504050,0.0023
2504140,-0.0396
2504770,0.0592
2504830,0.0976
2504890,0.0268
2504980,-0.0193
2505130,-0.1179
2505970,0.0681
2506270,0.0785
2506660,0.0963
2506780,0.1249
2507020,0.1173
2507110,0.0744
2507170,0.0408
2507320,-0.0344
2507560,-0.0492
2507740,0.0362
2507860,0.0281
2508430,0.0247
2508610,0.0187
2508700,0.0685
2508850,0.0750
2509360,-0.0681
2509630,-0.0119
2509870,0.0374
2509930,-0.0144
2510050,0.0382
2510380,0.0667
