id,mf_avg
13317,-6.1333
13319,-6.0382
13321,-5.7956
15003,-6.1895
16001,-5.7217
16005,-5.7354
16007,-5.4515
16009,-5.7039
16011,-5.6377
16013,-5.5967
16015,-5.8113
16017,-5.7747
16019,-5.6922
16021,-5.8297
16023,-5.9781
16027,-5.7622
16029,-5.5655
16031,-5.7458
16035,-5.7830
16037,-5.6607
16039,-5.7720
16041,-5.9409
16043,-5.8654
16045,-5.8181
16047,-5.8143
16049,-5.9301
16051,-5.8451
16053,-5.7896
16055,-5.6926
16057,-5.9068
16059,-5.6171
16061,-5.9371
16063,-5.9435
16065,-5.6902
16067,-5.5686
16069,-5.9330
16071,-5.7738
16073,-5.6167
16075,-5.7169
16077,-5.7320
16079,-6.0311
16081,-6.1543
16083,-5.7167
16085,-5.7686
16087,-5.7625
17001,-5.9883
17003,-5.9916
17005,-5.8876
17007,-5.9374
17009,-5.8268
17011,-6.0948
17013,-5.7732
17015,-6.2304
17017,-6.1556
17019,-5.8902
17021,-5.9280
17023,-5.7274
17025,-5.7859
17027,-5.9348
17029,-5.8505
17031,-5.9934
17033,-5.9170
17035,-5.9270
17037,-5.9459
17039,-5.8213
17041,-5.8930
17043,-5.8700
17045,-5.7934
17047,-6.1527
17049,-5.9309
17051,-5.9049
17053,-5.8067
17055,-5.9272
17057,-6.2603
17059,-6.0352
17061,-6.1931
17063,-5.9049
17065,-6.0472
17067,-5.8633
17069,-6.0905
17071,-6.1974
17073,-5.9572
17075,-5.7505
17077,-6.0313
17079,-6.1553
17081,-6.0238
17083,-6.0836
17085,-5.9370
17087,-6.0833
17089,-5.9046
17091,-5.9959
17093,-5.9274
17095,-5.9292
17097,-5.8658
17099,-5.9094
17101,-5.9528
17103,-5.9889
17105,-5.7981
17107,-5.9747
17109,-5.8260
17111,-5.8766
17113,-5.9142
17115,-5.9484
17117,-6.0823
17119,-6.0293
17121,-5.9737
17123,-5.8374
17125,-6.0872
17127,-6.0945
17129,-5.8787
17131,-5.7651
17133,-5.8486
17135,-6.1492
17137,-5.9118
17139,-5.6997
17141,-5.8585
17143,-5.9745
17145,-6.1317
17147,-5.9150
17149,-5.9579
17151,-6.0770
17153,-6.1589
17155,-5.8983
17157,-5.9569
17159,-6.0356
17161,-5.9590
17163,-5.9789
17165,-5.9418
17167,-6.0351
17169,-5.9779
17171,-6.0421
17173,-5.8870
17175,-5.6711
17177,-5.9473
17179,-5.8667
17181,-6.0220
17183,-5.8785
17185,-5.9169
17187,-5.9713
17189,-5.9876
17191,-5.9372
17193,-5.8607
17195,-5.8093
17197,-5.9684
17199,-5.9306
17201,-5.9801
17203,-5.8833
18001,-5.7693
18003,-5.9273
18005,-5.9890
18007,-6.0556
18009,-6.1914
18011,-5.8571
18013,-5.7792
18015,-5.8138
18017,-5.8614
18019,-5.8900
18021,-5.7913
18023,-5.9051
18025,-5.9542
18027,-5.8993
18029,-6.0508
18031,-5.9026
18033,-5.8928
18035,-5.9193
18037,-5.8570
18039,-5.8357
18041,-5.8902
18043,-5.8881
18045,-6.1872
18047,-5.9832
18049,-5.9133
18051,-5.7339
18053,-5.9542
18055,-5.9522
18057,-5.8514
18059,-5.9902
18061,-5.8158
18063,-5.9304
18065,-5.8500
18067,-5.8466
18069,-5.9038
18071,-5.9467
18073,-5.9477
18075,-5.8718
18077,-6.0389
18079,-5.8779
18081,-5.8143
18083,-5.8850
18085,-5.8952
18087,-5.9121
18089,-5.9433
18091,-5.9551
