id,b_coh
29169,-0.0269
29183,0.0646
29189,-0.0226
29201,-0.0386
29510,0.0278
30013,-0.0068
30111,-0.1116
31055,0.1160
31109,-0.0081
31153,0.0934
32003,-0.0371
32031,-0.0221
33011,0.1282
34001,0.0023
34003,0.0403
34005,0.0487
34007,0.0402
34009,0.0117
34011,0.0114
34013,0.0593
34015,0.0283
34017,0.0884
34019,-0.0260
34021,0.0495
34023,0.0052
34025,0.0334
34027,0.0483
34029,-0.0452
34031,0.0881
34033,0.0269
34035,0.0432
34037,0.0524
34039,0.0683
34041,0.0698
35001,0.0162
35009,0.0490
35013,0.0660
35025,0.0844
35035,-0.0245
35043,-0.0504
36001,-0.0067
36007,-0.0682
36013,-0.1951
36015,-0.0990
36027,-0.0587
36029,-0.0409
36045,-0.0149
36055,-0.1214
36059,-0.0653
36061,0.0679
36063,-0.1429
36065,-0.1829
36067,-0.1349
36071,-0.0325
36083,-0.0600
36087,-0.0262
36091,-0.0294
36093,-0.1248
36103,-0.0624
36105,-0.1625
36111,-0.1044
36117,-0.1187
36119,-0.0626
37001,-0.0305
37007,0.0484
37013,0.0531
37015,-0.0214
37017,-0.0519
37019,-0.0097
37021,0.0184
37023,-0.0205
37025,0.0385
37027,-0.0024
37031,0.0227
37033,-0.0434
37035,-0.0347
37037,-0.0045
37041,0.0246
37045,-0.0218
37047,0.0564
37049,0.0170
37051,0.0696
37057,0.0710
37059,0.0119
37061,-0.0593
37063,0.0390
37065,0.0219
37067,-0.0227
37069,0.0086
37071,0.0039
37073,0.0994
37077,0.0427
37079,0.0263
37081,-0.0193
37083,0.1060
37085,0.0635
37089,0.0263
37091,0.0264
37093,0.0309
37097,-0.0286
37101,-0.0523
37103,0.0114
37105,-0.0149
37107,-0.0038
37109,0.0599
37117,-0.0856
37119,0.0560
37123,0.0596
37125,0.0386
37127,-0.0559
37129,-0.0024
37131,-0.0165
37133,-0.0292
37135,-0.0300
37137,-0.0884
37139,0.0625
37141,-0.0489
37143,-0.0968
37145,0.0530
37147,0.0589
37151,0.0532
37153,0.0970
37155,-0.0288
37157,0.0529
37159,-0.0301
37161,0.0786
37163,0.1033
37165,-0.0168
37167,0.0151
37171,-0.0015
37179,0.0468
37181,0.0764
37183,0.0732
37185,-0.0385
37187,0.1120
37191,-0.0353
