id,p_coh
0903538,0.1552
0903840,0.0195
0903990,0.0063
0904050,0.0850
0904110,0.0172
0904170,0.0873
0904230,0.0019
0904290,0.0374
0904320,0.0478
0904380,0.1017
0904440,-0.0897
0904530,-0.0673
0904590,0.0245
0904620,0.0916
0904680,-0.0033
0904740,-0.0254
0904830,-0.0744
0904860,-0.0869
0904890,0.0572
0904920,0.0695
0904950,0.0712
0905070,0.0425
0905160,0.0543
0905190,0.1506
0905220,0.0374
0905250,-0.0535
0905280,0.0148
1000080,0.0083
1000170,0.0700
1000180,0.0246
1000190,0.0393
1000200,-0.0735
1000230,0.0215
1000270,0.0047
1000680,-0.0667
1000790,0.0249
1000810,-0.0404
1001080,-0.1070
1001240,-0.0356
1001300,-0.0588
1001530,-0.0505
1001620,0.0598
1001850,-0.1032
1100030,0.1379
1200030,0.0627
1200060,0.0117
1200090,-0.0100
1200120,0.0097
1200150,0.0038
1200180,0.0136
1200210,0.0013
1200240,-0.0229
1200270,0.0559
1200300,0.0388
1200330,0.1024
1200360,0.0649
1200390,0.0819
1200420,-0.1364
1200450,0.1009
1200480,0.0676
1200510,0.0263
1200540,0.1099
1200570,0.0166
1200600,0.0670
1200630,-0.0048
1200660,-0.0388
1200690,-0.0016
1200720,0.0993
1200750,0.0221
1200780,-0.0013
1200810,0.0628
1200840,0.0387
1200870,0.0389
1200900,-0.0235
1200930,0.0101
1200960,0.0607
1200990,0.0899
1201020,0.0917
1201050,0.0293
1201080,0.0347
1201110,0.0709
1201140,0.0066
1201170,0.0537
1201200,0.0853
1201230,0.0665
1201260,-0.0564
1201290,-0.0074
1201320,0.0130
1201350,0.0644
1201380,0.0161
1201410,0.0257
1201440,0.0656
1201470,0.0650
1201500,0.0392
1201530,0.0397
1201560,0.0438
1201590,0.0338
1201620,-0.0129
1201650,0.0171
1201680,0.0719
1201710,0.0060
1201740,0.1253
1201770,0.0409
1201800,0.0526
1201830,0.0064
1201860,0.0241
1201890,0.1204
1201920,0.0437
1201950,-0.0026
1201980,0.0216
1202010,0.0455
1202012,0.1184
1202014,0.2035
1300001,0.0325
1300060,-0.0945
1300090,0.1198
1300120,-0.0822
1300150,0.0661
1300180,0.0866
1300210,-0.0143
1300240,0.0491
1300290,0.0591
1300330,0.0461
1300360,0.1409
1300390,0.2603
1300420,0.0611
1300440,0.0745
1300480,0.1339
1300510,0.0985
1300540,0.0325
1300570,0.0239
1300600,0.0915
1300630,0.0120
1300660,-0.0009
1300690,0.0807
1300720,0.0145
1300750,-0.0508
1300780,0.0361
1300810,0.0188
1300840,0.0993
1300870,0.0400
1300900,0.0580
1300930,0.0495
1300990,0.1186
1301020,0.0075
1301050,0.0048
1301080,0.0611
1301110,-0.0178
1301140,0.1309
1301170,0.0705
1301200,-0.0929
