id,wb_coh
36061,0.0435
36063,0.1004
36065,0.1239
36067,0.1334
36071,0.0404
36083,-0.0021
36087,0.0715
36091,0.0071
36093,0.0841
36103,0.0580
36105,0.0869
36111,0.0922
36119,0.1185
37001,0.0488
37007,-0.0027
37013,-0.0338
37015,0.0329
37017,0.0141
37019,-0.0041
37021,-0.0055
37023,-0.0150
37025,-0.0010
37027,-0.0130
37031,0.0010
37033,0.0113
37035,0.0223
37037,0.0662
37041,0.0064
37045,-0.0051
37047,-0.0354
37049,-0.0307
37051,-0.0222
37057,-0.0703
37059,-0.0198
37061,0.0045
37063,0.0516
37065,-0.0158
37067,0.0364
37069,-0.0348
37071,-0.0078
37073,-0.0376
37077,-0.0118
37079,-0.0102
37081,-0.0054
37083,-0.1183
37085,-0.0357
37089,0.0266
37091,0.0171
37093,0.0111
37097,0.0421
37101,0.0284
37103,-0.0162
37105,-0.0140
37107,-0.0689
37109,0.0036
37117,-0.0294
37119,-0.0187
37123,-0.0236
37125,-0.0170
37127,-0.0245
37129,0.0501
37131,-0.0746
37133,0.0145
37135,0.0228
37137,0.0618
37139,-0.0313
37141,0.0450
37143,0.1090
37145,-0.0019
37147,-0.0215
37151,-0.0304
37153,-0.0039
37155,0.0077
37157,-0.0085
37159,-0.0124
37161,-0.0248
37163,-0.0376
37165,0.0361
37167,-0.0104
37171,0.0006
37179,0.0009
37181,-0.1036
37183,-0.0473
37185,0.0020
37187,-0.0877
37191,0.0171
37193,-0.0042
37195,-0.0173
38017,-0.0120
38101,0.0731
39003,-0.0138
39007,0.0022
39017,-0.0079
39023,-0.0050
39025,0.0228
39035,0.0425
39041,-0.0294
39043,0.0530
39045,-0.0412
39049,0.0326
39057,0.0111
39061,0.0307
39081,0.0263
39085,0.0287
39089,-0.0768
39093,-0.0058
39095,0.0205
39099,-0.0440
39101,0.0905
39103,0.0439
39109,-0.0052
39113,0.0443
39119,0.1138
39133,0.0248
39139,-0.0597
39141,0.0262
39143,0.0093
39151,0.0511
39153,0.0324
39155,0.0232
39165,0.0553
39173,0.0532
40017,0.0173
40019,-0.0107
40023,0.0104
40027,0.0220
40031,0.0342
40037,0.0252
40047,0.0382
40051,0.0688
40065,-0.0462
40083,-0.0597
40089,-0.0353
40101,0.0511
40109,0.0365
40111,0.0340
40119,-0.0097
40125,0.0697
40135,-0.0304
40143,0.0740
40145,0.0116
40147,0.0985
41005,0.1069
41047,0.0623
41051,0.0484
41067,0.0248
42001,0.0709
42003,0.0722
42007,0.0372
42011,0.0633
42013,-0.0132
42017,0.0271
42019,-0.0153
42021,0.1233
42025,0.0162
42029,0.0481
42039,-0.0816
42041,0.0507
42043,0.0167
42045,0.1219
42049,0.1566
42051,0.0223
42055,0.0090
42069,0.0515
42071,0.0092
42073,0.1213
42075,0.0800
42077,-0.0013
42079,0.0503
42081,0.0387
42085,0.0750
42089,0.0007
42091,0.0123
42095,0.0326
42097,-0.0552
42101,0.0683
42107,0.0211
42125,0.0173
42129,0.0978
42133,0.0782
44003,0.0308
44005,0.0213
44007,-0.0057
45001,0.0090
45003,0.0198
45007,0.0662
45009,-0.1065
45011,0.0190
45013,0.0498
45015,0.0536
45017,-0.0087
45019,0.0378
45021,0.0116
45023,-0.0465
45025,-0.0002
45027,0.0027
45029,-0.0332
45031,0.0298
45033,0.0057
45035,0.0201
45037,0.0370
45039,0.0481
45041,-0.0006
45043,0.0357
45045,0.0637
45047,-0.0050
45049,-0.0081
45051,0.0195
45053,0.0033
45055,0.0025
45057,0.0357
45059,0.0010
45063,0.0154
45067,-0.0025
45069,0.0026
45071,0.0176
45073,0.0123
45075,0.0047
45077,0.0304
45079,0.0043
45081,0.0252
45083,0.0177
45085,-0.0064
45087,-0.0071
45089,0.0232
45091,0.0212
46099,-0.0011
47001,-0.0195
47003,-0.0298
47009,-0.0235
47011,0.0240
47017,0.0081
47023,-0.0417
47031,0.0164
47033,-0.0679
47037,-0.0523
47043,-0.0889
47045,-0.0075
47047,0.0132
47051,-0.0079
47053,-0.0803
47055,-0.0474
47059,-0.1087
47063,-0.0323
47065,-0.0395
