id,f_grd
0626640,1.0299
0626670,1.0797
0626760,1.1054
0626820,1.0751
0626910,0.9537
0627030,0.8861
0627060,1.1057
0627120,1.1681
0627180,1.2015
0627200,1.0456
0627240,1.0410
0627450,1.0022
0627480,1.1355
0627590,1.1761
0627690,0.9048
0627720,1.0153
0627780,0.9762
0627810,1.0803
0627840,0.9675
0627850,1.0461
0627900,0.8677
0627930,1.0141
0628050,0.8712
0628080,0.8846
0628140,1.1403
0628170,1.1182
0628250,1.0735
0628270,1.0364
0628320,1.1780
0628470,0.9939
0628650,1.0784
0628680,1.2831
0628710,1.1117
0628860,1.0469
0628950,0.7145
0629100,1.0686
0629220,0.9224
0629270,1.2712
0629280,0.9341
0629370,1.1288
0629430,1.2297
0629490,1.0944
0629540,1.0005
0629550,0.8601
0629580,1.0008
0629610,1.3070
0629640,0.9084
0629670,1.0042
0629700,1.0061
0629820,1.0514
0629850,1.0339
0629910,0.9206
0629940,0.7778
0630030,0.8814
0630180,1.0972
0630230,1.1641
0630250,1.1596
0630330,1.2200
0630360,1.1380
0630450,1.0429
0630510,0.9928
0630600,0.9581
0630630,0.9922
0630660,1.1201
0630720,1.1873
0630780,1.0723
0630840,0.9914
0630930,1.0737
0630990,1.0499
0631050,0.9156
0631170,0.8978
0631180,0.8695
0631290,0.8908
0631320,0.9976
0631470,1.2322
0631530,1.0628
0631710,1.0415
0631740,1.0757
0631860,0.8980
0631980,0.8856
0632040,1.0815
0632070,1.0031
0632130,1.0310
0632160,1.1679
0632270,1.0998
0632310,1.1252
0632370,0.8477
0632430,0.8451
0632550,0.9309
0632610,0.8442
0632640,0.8992
0632710,1.0927
0632760,1.0393
0632880,1.1582
0633110,0.9273
0633150,1.0494
0633240,1.0429
0633270,0.8121
0633390,0.9094
0633480,1.0518
0633510,1.1350
0633570,1.1591
0633600,0.9868
0633750,1.0979
0633840,1.0587
0633860,1.0817
0633900,1.0704
0633930,1.1232
0634170,1.0593
0634230,0.8598
0634290,1.2765
0634320,1.0286
0634410,1.0955
0634425,0.9965
0634440,0.9874
0634590,0.9972
0634620,1.0064
0634680,0.8955
0634710,1.0600
0634740,1.0823
0634800,1.1553
0634860,1.1334
0634880,0.9537
0634920,1.1107
0635010,1.0232
0635040,1.1080
0635070,0.9221
0635090,0.9378
0635130,1.0943
0635220,0.9297
0635250,0.9865
0635310,0.9738
0635360,1.0656
0635430,0.9854
0635590,1.3627
0635700,0.9689
0635730,0.9649
0635790,0.9658
0635810,1.1447
0635830,0.2198
0635880,1.0344
0635910,1.3269
0635970,1.0411
0636030,1.3390
0636180,1.0499
0636270,1.0210
0636360,0.9932
0636600,1.3023
0636670,0.9975
0636800,0.9829
0636805,0.9796
0636820,1.0849
0636840,0.9365
0636970,1.1431
0636990,1.0392
0637050,0.9111
0637110,1.0300
0637200,1.2027
0637230,1.0432
0637290,1.1386
0637320,1.0502
0637350,1.2686
0637380,1.3051
0637500,1.2229
0637530,1.1198
0637560,0.9310
0637590,1.0846
0637620,0.9590
0637710,0.9462
0637830,1.1273
0637890,0.8586
0637950,1.0921
0638010,1.0705
0638130,0.7918
0638220,1.1586
0638340,1.0325
0638430,0.9806
0638460,1.0550
0638550,1.1393
0638640,1.0438
0638670,0.9816
0638700,1.0177
0638770,1.1704
0638880,1.0660
0638980,1.1151
0639000,1.1355
0639060,0.8816
0639180,0.8864
0639300,1.1031
0639420,1.0767
0639630,1.1894
0639870,0.9779
0639940,0.9508
0640150,1.0978
0640230,1.2094
0640300,1.1336
0640320,1.0752
0640380,0.8831
0640470,0.8107
0640590,1.0453
0640650,1.0682
0640680,1.2153
0640740,0.8790
0640980,1.0987
0641040,0.7828
0641130,1.0728
0641160,1.1897
0641190,1.0241
0641250,1.0723
0641280,1.1008
0641400,1.0094
0641460,0.9658
0641580,1.0026
0641610,1.0312
0641790,0.9325
0641880,0.8389
0642000,0.9170
0642120,1.0851
0642140,1.0934
0642150,1.1354
0642180,1.0733
0642330,1.1007
0642450,0.9851
0642510,1.4543
0642540,0.8753
0642560,0.9949
0642710,0.9573
0642810,0.9622
0642930,0.9255
0642960,1.0803
0642990,1.0088
0643080,1.0777
0643140,1.1120
0643170,0.6176
0643200,0.9674
0643380,1.1561
0643470,0.9637
0643560,1.1321
0684500,1.2294
0691012,1.1747
0691026,0.7464
0691029,0.6313
0691035,1.3070
0691078,1.0718
0691134,0.9655
0691135,0.8752
0691136,1.2858
0801920,1.0104
0801950,0.9980
0802340,0.9038
0802490,1.0421
0802580,0.8296
0802790,0.9027
0802910,0.9729
0803060,0.8982
0803360,1.0222
0803450,1.0271
0803480,1.0259
0803540,0.9614
0803870,0.8698
0803990,1.0133
0804050,0.9691
0804080,0.7981
0804260,0.9291
0804350,0.9925
0804410,0.7841
0804530,0.8683
0804800,1.0016
0804830,0.8771
0805310,1.0350
0805370,1.0025
0805400,0.9193
0805550,0.8076
0805790,1.0021
0806120,0.6809
0806150,0.8950
0806480,1.0110
0806810,1.1469
0806900,0.9638
0807230,0.8327
0807350,1.0357
0900060,0.7638
0900070,0.8895
0900090,1.1651
0900120,1.1846
0900210,1.0361
0900240,1.2916
0900270,0.9360
0900330,0.9460
0900360,1.1359
0900420,1.0088
0900450,0.9677
0900510,1.0020
0900540,1.1000
0900570,1.0783
0900660,1.0972
0900690,0.9910
0900700,0.8048
0900750,1.0671
0900810,1.0767
0900840,1.1117
0900900,1.1182
0900910,0.9540
0900960,1.0588
0900990,0.9597
0901020,0.8176
0901050,1.2868
0901080,1.0268
0901110,0.9181
0901170,1.1351
0901200,0.9371
0901230,1.0074
0901260,0.8949
0901290,0.9799
0901320,1.0813
0901350,0.9830
0901410,1.0200
0901440,1.0908
0901470,0.8293
0901500,1.0888
0901530,1.0166
0901560,1.0459
0901620,1.1330
0901680,1.0783
0901710,1.0982
0901740,1.1571
0901770,0.9547
0901800,1.1127
0901860,0.9508
0901920,0.9620
0902010,1.0009
0902070,0.9986
0902130,1.0693
0902160,0.9625
0902190,1.0160
0902220,1.0326
0902280,0.9790
0902310,0.8000
0902340,1.0124
0902370,1.0876
0902400,0.8779
0902490,0.8353
0902520,1.0415
0902550,0.9453
0902580,0.9212
0902640,0.9411
0902670,0.9049
0902700,0.9475
0902730,1.0736
0902790,1.0430
0902820,0.9306
0902850,0.9935
0902880,0.9163
0902910,1.0452
0902970,0.9866
0903030,1.0001
0903060,0.8988
0903090,0.8546
0903120,0.9504
0903180,0.9739
0903210,1.1176
0903240,0.9663
0903270,0.9407
0903300,0.9213
0903330,0.9440
0903360,1.1240
0903390,1.2097
0903420,1.1046
0903450,0.8494
0903480,0.9964
0903510,1.0227
0903515,1.1539
0903520,0.9315
0903530,0.9461
0903535,1.1171
0903536,0.9936
0903537,1.0456
0903538,1.0704
0903539,1.0550
0903540,1.0680
0903810,1.0543
0903840,1.0380
0903900,1.1636
0903990,0.9711
0904050,1.0923
0904110,1.0360
0904140,1.1662
0904170,1.1958
0904230,0.8952
0904290,1.1606
0904320,0.9321
0904350,0.8579
0904380,0.9913
0904440,0.8372
0904470,0.9939
0904500,1.0768
0904530,0.8474
0904560,1.1433
0904590,0.8967
0904620,1.0363
0904680,0.8861
0904740,0.9382
0904830,0.7101
0904860,0.9918
0904890,1.0290
0904920,0.9592
0904950,0.9679
0904980,1.1683
0905010,1.0376
0905040,1.0434
0905070,1.0602
0905100,1.1251
0905130,1.0050
0905160,1.2212
0905190,0.8608
0905220,0.9440
0905250,0.9251
0905280,0.9803
0905310,1.1881
0905370,1.1172
1000080,1.0653
1000170,1.0920
1000180,0.9078
1000190,0.8658
1000200,0.7763
1000230,0.8797
1000270,1.2031
1000680,0.9749
1000790,1.0052
1000810,0.8972
1001080,0.8233
1001240,0.8756
1001300,1.0153
1001530,0.8294
1001620,0.8664
1001850,0.6397
1100030,1.0215
1200030,0.9085
1200060,0.7911
1200090,0.8431
1200120,0.7388
1200150,0.8830
1200180,0.8731
1200210,0.8463
1200240,0.7995
1200270,0.8337
1200300,0.8316
1200330,1.0189
1200360,0.7424
1200390,0.8509
1200420,0.6383
1200450,0.8030
1200480,0.8175
1200510,0.7347
1200540,0.9128
1200570,0.8175
1200600,0.6939
1200630,0.9149
1200660,0.8245
1200690,0.8562
1200720,0.8212
1200750,0.6283
1200780,0.6717
1200810,0.8125
1200840,0.8492
1200870,0.8537
1200900,0.8306
1200930,0.8451
1200960,0.7492
1200990,0.5625
1201020,0.9388
1201050,0.8007
1201080,0.8479
1201110,0.8724
1201140,0.8527
1201170,0.8959
1201200,0.7485
1201230,0.9055
1201260,0.7500
1201290,0.8936
1201320,0.8983
1201350,0.8374
1201380,0.9150
1201410,0.8283
1201440,0.8453
1201470,0.8538
1201500,0.9247
1201530,0.9141
1201560,0.8650
1201590,0.7948
1201620,0.7294
1201650,0.8474
1201680,0.9586
1201710,0.8594
1201740,0.9838
1201770,0.8564
1201800,0.8195
1201830,0.8073
1201860,0.8573
1201890,0.8591
1201920,0.7960
1201950,0.8204
1201980,0.8828
1202010,0.8768
1202012,1.0307
1202015,1.0639
1300001,0.9193
1300060,0.9359
1300090,0.8663
1300120,0.8166
1300150,0.9244
1300210,0.7981
1300240,0.9608
1300290,0.9672
1300330,0.8139
1300360,0.9264
1300390,0.9083
1300420,0.8143
1300440,0.9221
1300480,0.9947
1300510,0.9900
1300540,0.8640
1300570,0.9441
1300600,1.1557
1300630,1.0056
1300660,0.8667
1300690,0.9736
1300720,0.9918
1300750,0.8517
1300780,0.9676
1300810,0.9568
1300840,0.8908
1300870,0.9646
1300900,1.0282
1300930,1.0452
1300990,1.1152
1301020,0.8642
1301050,0.6846
1301080,0.8910
1301110,1.0391
1301140,1.1302
1301170,0.8856
1301230,0.8950
1301260,0.8917
1301290,1.0379
1301350,0.8954
1301380,0.8274
1301410,0.9846
1301440,0.8356
1301470,0.8895
1301500,1.0211
1301530,0.8872
1301560,0.8031
1301590,0.9345
1301620,0.8838
1301650,1.0475
1301680,1.1681
1301710,0.7672
1301740,0.8793
1301770,0.8553
1301800,0.8878
1301830,0.8476
1301860,0.9154
1301870,0.8954
1301890,0.9007
1301920,0.9481
1301950,0.9847
1301980,1.0097
1302010,0.9571
1302040,0.8828
1302070,1.0009
1302100,1.0189
1302130,1.0201
1302190,0.9176
1302220,1.1450
1302250,0.8123
1302280,0.9298
1302310,0.9476
1302340,1.2326
1302370,1.0022
1302400,0.9947
1302430,1.0464
1302460,0.8604
1302490,0.9841
1302520,0.8504
1302550,1.0408
1302580,1.0504
1302610,1.0371
1302640,0.9261
1302670,0.9744
1302700,0.9739
1302730,0.9630
1302790,1.2098
1302820,0.9429
1302880,0.9068
1302910,0.8222
1302940,0.9306
1302970,0.8889
1303000,0.9194
1303030,1.1096
1303060,0.9566
1303090,0.7887
1303120,0.9373
1303150,0.9846
1303210,0.8203
1303240,0.8849
1303270,0.9547
1303300,0.8761
1303330,0.8749
1303360,0.7841
1303390,0.9446
1303420,0.9640
1303450,0.8878
1303480,0.9290
1303510,0.9104
1303540,0.8489
1303570,0.8912
1303600,0.8337
1303630,0.8041
1303660,0.9754
1303690,1.0257
1303720,0.9663
1303750,0.7982
1303780,0.8616
1303840,0.8850
1303870,0.9470
1303930,0.9227
1303960,0.9711
1303990,1.0657
1304020,0.9271
1304050,0.9700
1304080,1.0043
1304110,0.9142
1304140,0.9857
1304170,0.9233
1304200,0.9284
1304220,0.8823
1304260,0.9050
1304320,0.9663
1304350,0.6561
1304380,0.8419
1304410,0.8822
1304440,1.0655
1304470,0.9519
1304500,0.9525
1304530,0.9593
1304540,1.0069
1304560,0.9884
1304620,0.8421
1304650,0.9076
1304770,1.0682
1304800,0.8319
1304830,1.0190
1304860,0.7373
1304890,0.8057
1304950,0.8902
1304980,0.8698
1305040,0.8184
1305070,1.1117
1305100,0.6647
1305130,1.0974
1305190,0.7879
1305220,0.9578
1305250,1.0514
1305280,0.8540
1305310,0.8451
1305340,0.9489
1305370,0.9234
1305390,0.9607
1305430,1.0012
1305460,0.9775
1305490,0.8686
1305550,0.9036
1305640,0.8361
1305670,0.9052
1305700,0.9565
1305730,0.9096
1305760,0.9573
1305790,1.0784
1305850,0.8749
1500030,0.9587
1600001,1.0037
1600002,1.1047
1600030,1.1140
1600060,0.9220
1600139,1.0856
1600240,1.0923
1600270,0.8942
1600300,1.1008
1600360,1.0225
1600420,1.0406
1600480,1.0154
1600510,0.9156
1600600,1.0064
1600660,0.9275
1600780,1.1033
1600930,1.0091
1600960,1.0506
1601020,1.0946
1601050,1.0293
1601080,0.9865
1601110,0.9653
1601140,0.9398
