id,f_coh
28063,0.0393
28065,0.0954
28067,0.0778
28069,0.2131
28071,0.1342
28073,0.0348
28075,0.0615
28077,-0.0142
28079,0.0743
28081,0.1405
28083,0.0248
28085,-0.0049
28087,0.0447
28089,0.0513
28091,0.1672
28093,0.0462
28095,0.1315
28097,0.0093
28099,-0.0202
28101,0.0844
28103,0.0493
28105,0.0848
28107,0.1700
28109,0.0389
28111,-0.0443
28113,0.0704
28115,0.0207
28117,0.0863
28119,0.1065
28121,0.1115
28123,-0.0296
28125,-0.0982
28127,0.1127
28129,0.0810
28131,0.0458
28133,0.0753
28135,0.1283
28137,0.0805
28139,-0.0263
28141,0.0120
28143,0.0259
28145,0.1120
28147,0.0773
28149,0.1278
28151,0.1330
28153,-0.0368
28155,0.1514
28157,0.0522
28159,0.1105
28161,-0.0093
28163,-0.0057
29001,-0.0422
29003,-0.0308
29005,0.0504
29007,-0.0462
29009,-0.0695
29011,0.0113
29013,0.0172
29015,-0.0079
29017,-0.0624
29019,-0.0302
29021,-0.0101
29023,-0.0523
29025,0.0380
29027,-0.0477
29029,-0.0258
29031,-0.0396
29033,0.1304
29035,-0.1020
29037,0.0148
29039,-0.0311
29041,-0.0622
29043,0.0514
29045,-0.0807
29047,0.0059
29049,0.0884
29051,-0.1087
29053,-0.0200
29055,-0.0155
29057,-0.1306
29059,0.0062
29061,0.0094
29063,0.0730
29065,-0.0108
29067,-0.0351
29069,-0.1119
29071,-0.0273
29073,-0.0221
29075,0.0441
29077,-0.0837
29079,0.0444
29081,-0.0015
29083,-0.0245
29085,0.0784
29087,0.0016
29089,0.0439
29091,-0.0679
29093,0.0264
29095,-0.0113
29097,-0.0517
29099,0.0005
29101,0.0058
29105,-0.0118
29107,-0.0100
29109,-0.0067
29111,-0.0270
29113,-0.0069
29115,0.0502
29117,0.0513
29119,-0.1047
29121,0.0325
29123,-0.0029
29125,0.0286
29127,0.0142
29129,-0.0007
29131,0.0245
29133,-0.0396
29135,-0.0120
29137,-0.0780
29139,0.0917
29141,-0.0483
29143,-0.0866
29145,-0.0866
29147,-0.0297
29149,-0.0570
29151,0.0224
29153,-0.0140
29155,0.0617
29157,-0.0193
29159,0.0273
29161,0.0056
29163,0.0135
29165,0.0002
29167,-0.0311
29169,-0.0001
29171,-0.0932
29173,0.0631
29175,0.0232
29177,0.0561
29179,0.0460
29181,-0.0343
29183,0.0641
29185,-0.0278
29186,-0.0801
29187,-0.0607
29189,0.0129
29195,0.0101
29197,-0.0431
29199,-0.0090
29201,-0.0243
29203,0.0003
29205,-0.0585
29207,-0.0445
29209,-0.0907
29211,-0.0168
29213,-0.0031
29215,-0.0542
29217,-0.0540
29219,0.1043
29221,0.0275
29223,-0.0516
29225,-0.0550
29229,-0.0693
29510,0.0375
30001,0.0883
30003,-0.0931
30005,0.0530
30007,0.0130
30009,0.0012
30013,-0.0094
30015,0.1104
30017,-0.0609
30021,-0.0114
30023,-0.0931
30027,0.0455
30029,0.0400
30031,0.0237
30035,-0.0768
30041,0.0138
30043,0.0452
30047,-0.0368
30049,0.0845
30053,0.0451
30057,0.0132
30063,-0.0009
30065,-0.0139
30067,-0.0998
30071,0.0871
30073,-0.0988
30077,-0.0286
30081,-0.0144
30083,-0.0942
30085,-0.0852
30087,-0.1004
30089,0.0162
30093,0.0672
30095,-0.0091
30099,0.0219
30101,-0.0575
30105,-0.0686
30111,-0.0441
31001,0.0553
31003,0.0539
31011,0.0159
31013,0.0755
31019,0.0682
31021,0.1486
31023,-0.0021
31025,0.0448
31027,0.0633
31029,0.1497
31031,0.0750
31033,0.0178
31035,0.0591
31037,0.1857
31039,0.0296
31041,0.0334
31043,0.1706
31045,-0.0354
31047,0.0439
31051,0.1473
31053,0.0471
31055,0.0724
31059,-0.0092
31065,0.0747
31067,0.0726
31079,0.0120
31081,0.0798
31089,0.0899
31093,-0.0027
31095,0.1326
31099,-0.0116
31101,0.0047
31107,0.0541
31109,0.0436
31111,0.0577
31119,0.1345
31121,-0.0935
