id,np_avg
0505760,0.3252
0505850,0.2470
0505970,0.3346
0506060,0.4447
0506090,1.2147
0506120,1.9209
0506150,0.5130
0506210,-0.1472
0506330,1.2214
0506360,0.4832
0506420,0.8342
0506540,0.8230
0506630,0.6939
0506690,0.3377
0506840,0.8462
0506870,1.1031
0506900,1.1694
0506930,0.1904
0506990,1.4696
0507110,0.7333
0507170,-0.5679
0507290,0.2100
0507320,-0.0399
0507350,0.5473
0507380,1.6351
0507530,0.3138
0507560,0.7735
0507770,0.9352
0507840,-0.3087
0507860,0.3047
0507890,1.2805
0507920,0.6042
0507990,0.5599
0508130,0.6121
0508240,0.1896
0508280,1.3796
0508340,-0.0132
0508400,0.1505
0508610,1.0017
0508670,1.3628
0508700,0.2302
0508730,0.6160
0508940,0.8142
0509000,0.8807
0509060,0.4143
0509190,0.9955
0509240,0.6910
0509330,0.6498
0509390,0.5672
0509480,1.6584
0509540,-0.2357
0509600,1.3105
0509630,0.2198
0509720,1.3993
0509750,1.0227
0509840,0.8443
0510080,1.1977
0510200,1.1259
0510320,-0.5068
0510380,1.0255
0510440,1.0811
0510620,-0.3636
0510680,0.9156
0510980,0.5180
0511010,0.7976
0511070,0.5126
0511130,0.5402
0511220,1.1515
0511340,0.5493
0511370,0.4217
0511610,1.1291
0511700,1.3964
0511730,1.0717
0511760,0.9900
0511820,1.0191
0511850,0.4202
0511880,0.3703
0511970,1.7354
0512000,0.6216
0512060,1.3279
0512090,1.9303
0512180,0.5837
0512210,1.7477
0512450,1.3651
0512480,-0.1990
0512510,0.2637
0512520,0.7324
0512540,0.6822
0512570,-0.2997
0512630,0.8645
0512660,1.5252
0512960,0.6064
0513080,0.4854
0513110,0.1787
0513230,1.3328
0513350,1.0971
0513380,1.6567
0513410,0.4728
0513530,0.9801
0513680,0.0292
0513930,-0.7233
0514010,0.6221
0514140,0.7404
0514370,1.2915
0514400,0.4694
0514430,1.0045
0514490,0.6155
0600001,-0.0504
0600006,1.8889
0600011,-1.5719
0600013,1.3678
0600014,-0.4687
0600015,-0.6643
0600016,0.8363
0600017,0.1989
0600019,1.6970
0600020,2.2308
0600021,1.7530
0600025,2.3087
0600026,-0.4600
0600027,-0.0617
0600028,0.7541
0600029,0.4864
0600032,1.5238
0600033,-0.7171
0600034,0.1490
0600035,-1.5478
0600036,0.1457
0600037,-0.4546
0600038,-0.8415
0600039,-0.2157
0600040,-0.3434
0600043,1.2867
0600044,0.3278
0600045,-0.7118
0600046,-0.9997
0600047,-0.1977
0600048,0.3777
0600049,0.7533
0600051,0.0328
0600052,0.0228
0600060,-0.0835
0600061,-0.7606
0600062,0.1883
0600063,-0.6252
0600064,-0.0008
0600065,-0.8673
0600068,0.5600
0600069,0.5284
0600116,-0.4580
0600153,1.4305
0600158,0.3548
0600159,0.6536
0600160,-0.1931
0601331,0.2411
0601332,-0.4134
0601409,0.0638
0601410,0.6966
0601415,-1.5314
0601420,-0.2870
0601426,1.4846
0601428,0.7042
0601620,1.8742
0601680,0.9576
0601710,-1.0702
0601770,1.4199
0601860,1.9187
0601950,-1.5111
0602100,0.2515
0602160,0.7132
0602310,0.0612
0602430,0.3567
0602450,-0.2004
0602610,-0.3562
0602760,0.6421
0602850,-0.6464
0602970,2.9260
0603000,0.6956
0603060,-0.4188
0603270,-1.5326
0603300,0.2973
0603420,0.1382
0603480,0.3847
0603600,-0.6176
0603630,-0.2218
0603690,-0.4932
0603840,-0.9120
0603870,0.5490
0604020,0.1098
0604080,0.3539
0604110,-0.2553
0604230,0.3250
0604260,-0.3226
0604290,0.2579
0604350,0.1724
0604380,-0.9638
0604440,0.1828
0604530,1.8297
0604620,0.8204
0604650,1.0419
0604740,2.0598
0604800,0.8387
0604830,1.3939
0605240,-0.3252
0605280,-0.5595
0605580,-0.7515
0605610,0.9706
0605670,1.4787
0605700,-0.4663
0605790,-0.1956
0605880,1.4458
0605910,0.6105
0606030,-1.1056
0606060,0.3675
0606090,-0.1814
0606270,1.2508
0606330,1.1017
0606360,0.7564
0606390,0.0512
0606450,0.6318
0606480,2.0514
0606570,-0.3606
0606750,0.1204
0606780,0.9619
0606810,0.7427
0606870,-0.3996
0606900,-1.1745
0607020,0.1202
0607140,1.5151
0607170,0.7707
0607200,1.3020
0607260,-0.4863
0607440,1.4047
0607470,1.9004
0607500,1.9020
0607530,2.1535
0607560,0.7206
0607680,-0.9621
0607740,0.4290
0607800,1.4604
0607840,1.3657
0607900,-0.1378
0607950,0.2370
0607970,0.1391
0607980,0.2190
0608070,1.0066
0608130,-0.0928
0608190,0.2934
0608250,-0.2925
0608370,0.3271
0608460,1.1499
0608520,-0.4641
0608610,0.8455
0608760,1.0229
0608850,1.4157
0608970,-0.3523
0609030,1.6044
0609070,-1.3996
0609120,-0.8022
0609270,2.7565
0609300,-0.0892
0609330,0.5072
0609390,-0.5052
0609450,0.1267
0609480,0.4963
0609570,-0.2665
0609620,-2.0125
0609640,1.5318
0609690,-0.9629
0609780,-0.2104
0609850,0.7479
0609870,1.4367
0609940,-0.1982
0609990,0.1022
0610050,0.2469
0610260,1.1984
0610290,3.4571
0610320,-0.0095
0610380,0.5142
0610440,1.5675
0610620,1.9148
0610710,-0.9665
0610740,3.1221
0610770,-0.6162
0610890,-0.5992
0611040,-0.5726
0611110,0.8104
0611220,1.6466
0611280,-0.2019
0611460,0.0775
0611490,0.6890
0611520,0.4767
0611610,0.1170
0611730,0.4035
0611850,0.5004
