id,f_coh
0612840,-0.0358
0612880,0.0570
0612930,-0.1053
0612960,0.0881
0613080,0.1420
0613140,0.0851
0613170,-0.0587
0613200,0.0461
0613290,0.0697
0613360,0.0207
0613470,0.0723
0613500,0.0486
0613800,0.0151
0613840,-0.0443
0613890,0.0765
0613920,-0.0147
0613980,-0.0126
0614070,0.0246
0614220,0.1346
0614250,0.0983
0614340,0.1978
0614370,0.1404
0614400,0.1706
0614550,-0.0001
0614700,0.0304
0614730,0.0397
0614790,-0.0241
0614880,0.0708
0614940,0.1588
0614950,0.0090
0615180,0.1287
0615240,0.0938
0615270,0.0653
0615390,0.0727
0615450,-0.0191
0615510,0.0623
0615600,0.1399
0615690,0.0199
0615780,0.0588
0615840,0.1846
0616050,0.0479
0616080,0.1082
0616260,0.0027
0616300,0.0258
0616323,-0.0947
0616325,0.0658
0616470,0.0682
0616570,0.0358
0616620,0.1343
0616650,0.0226
0616680,0.0209
0616740,0.0727
0616830,0.2310
0616860,-0.0174
0616920,-0.0143
0617040,0.1044
0617160,0.0768
0617190,0.0774
0617220,-0.0386
0617340,0.0570
0617430,0.1755
0617490,0.0814
0617850,0.0185
0618030,0.1798
0618210,0.1106
0618390,-0.0173
0618660,0.1331
0618730,0.0182
0618840,0.0716
0618870,0.1383
0618990,0.0014
0619140,0.0701
0619260,-0.0003
0619320,-0.0704
0619380,0.0963
0619440,0.0854
0619490,-0.0040
0619590,0.0348
0619620,0.1424
0619680,0.0769
0619700,0.0687
0619740,0.0819
0619770,0.2828
0619800,0.0898
0619890,-0.0492
0619950,-0.0920
0620040,-0.0431
0620070,-0.0184
0620130,0.0819
0620190,0.0063
0620250,0.0653
0620310,0.1575
0620370,0.1884
0620460,0.0586
0620640,0.0920
0620670,0.0382
0620730,0.0209
0620790,0.0885
0620850,-0.0313
0620880,0.0453
0620910,0.0543
0621000,0.0561
0621150,0.0406
0621210,0.0793
0621240,0.0894
0621330,0.0991
0621360,0.1587
0621420,0.0184
0621450,0.0462
0621690,0.0297
0621810,0.0085
0621870,0.1097
0621930,0.1202
0621990,0.1555
0622050,0.1387
0622110,0.0730
0622170,0.0387
0622230,0.0636
0622350,-0.0265
0622380,0.0316
0622410,0.0684
0622500,0.0464
0622560,0.0180
0622590,0.1842
0622650,0.0620
0622710,0.0599
0622740,-0.0226
0622830,0.1165
0622890,0.0340
0622950,-0.1423
0623010,0.0523
0623080,0.0225
0623130,0.0572
0623160,0.0969
0623340,-0.0629
0623430,0.0925
0623530,0.1593
