id,b_grd
37131,0.9751
37133,0.7857
37135,0.7944
37137,0.8883
37139,0.7723
37141,0.8179
37143,0.7897
37145,0.7732
37147,0.8827
37151,0.7898
37153,0.8723
37155,0.7751
37157,0.8241
37159,0.7339
37161,0.7676
37163,0.8699
37165,0.7903
37167,0.8881
37171,0.8409
37179,0.8951
37181,0.7787
37183,0.8484
37185,0.7671
37187,1.0341
37191,0.8601
37193,0.8627
37195,0.8008
38017,0.9492
38101,0.8617
39003,0.8182
39007,0.8342
39017,0.9364
39023,0.9988
39025,0.8214
39035,0.8697
39041,1.0880
39043,0.7804
39045,0.8952
39049,0.9254
39057,0.9705
39061,0.8667
39081,0.6110
39085,0.8561
39089,1.0332
39093,0.9734
39095,0.8345
39099,0.7538
39101,0.8297
39103,0.8748
39109,0.8802
39113,0.8369
39119,0.8130
39133,0.9929
39139,0.8912
39141,0.8055
39143,0.8596
39151,0.8787
39153,0.8818
39155,0.9123
39165,0.9566
39169,0.7763
39173,0.8810
40017,0.9632
40019,0.8287
40023,0.7147
40027,0.9143
40031,0.8860
40037,0.9102
40047,0.8079
40051,0.7871
40065,0.9542
40083,1.0782
40089,0.8179
40101,0.8254
40109,0.9091
40111,0.7979
40119,0.9295
40125,0.7657
40135,0.9581
40137,0.9010
40143,0.8019
40145,0.9209
40147,0.9093
41005,0.8338
41051,0.9478
41067,0.8992
42001,1.0753
42003,0.8338
42007,0.7585
42011,0.8481
42013,0.9058
42017,0.9293
42019,0.9094
42021,0.6967
42025,0.8745
42029,0.8704
42039,1.1431
42041,0.8885
42043,0.8836
42045,0.8266
42049,0.7815
42051,0.7766
42055,0.9617
42069,0.7456
42071,0.9003
42073,0.6520
42075,0.9188
42077,0.8129
42079,0.7475
42081,0.8978
42085,0.8223
42089,0.8856
42091,0.9300
42095,0.8376
42097,0.8910
42101,0.8862
42107,0.8506
42125,0.7826
42129,0.7107
42133,0.8386
44003,0.8069
44005,0.9761
44007,0.8588
45001,0.9647
45003,0.8850
45005,0.9430
45007,0.9071
45009,1.0823
45011,0.9307
45013,0.9548
45015,0.8825
