id,w_coh
26037,-0.0022
26039,0.0451
26041,-0.0218
26043,0.0504
26045,0.0662
26047,0.0410
26049,0.0121
26051,0.0913
26053,0.0417
26055,0.0379
26057,-0.0598
26059,0.0467
26061,0.0112
26063,0.0231
26065,0.0297
26067,0.0429
26069,0.0790
26071,0.1144
26073,-0.0357
26075,-0.0035
26077,0.0254
26079,-0.0175
26081,0.0147
26085,-0.0413
26087,-0.0114
26089,-0.0108
26091,0.0440
26093,0.0038
26095,0.1441
26097,0.0407
26099,0.0183
26101,0.0068
26103,0.0059
26105,-0.0047
26107,-0.0204
26109,0.0187
26111,-0.0297
26113,-0.0573
26115,0.0449
26117,-0.0086
26119,-0.0831
26121,0.0259
26123,-0.0582
26125,-0.0323
26127,-0.0250
26129,0.1246
26131,-0.0202
26133,-0.0331
26135,0.1041
26137,0.0260
26139,0.0604
26141,0.0273
26143,-0.0400
26145,0.0605
26147,0.0177
26149,-0.0125
26151,-0.0035
26153,0.1339
26155,-0.0131
26157,0.0274
26159,0.0260
26161,0.0287
26163,0.0274
26165,0.0189
27001,-0.0783
27003,0.0453
27005,0.0451
27007,0.0487
27009,0.0209
27011,-0.0188
27013,0.0565
27015,0.0422
27017,0.0362
27019,0.0233
27021,-0.0267
27023,0.0536
27025,0.0246
27027,0.0403
27029,-0.0001
27031,-0.0255
27033,-0.0569
27035,0.0318
27037,0.0169
27039,0.0053
27041,0.0900
27043,-0.0358
27045,-0.0106
27047,0.0062
27049,0.0160
27051,0.0375
27053,0.0346
27055,-0.0207
27057,-0.0059
27059,0.0622
27061,0.0392
27063,-0.1540
27065,0.0786
27067,0.1026
27069,-0.0048
27071,0.0235
27073,0.0583
27075,0.0176
27077,-0.0372
27079,0.0623
27081,-0.0937
27083,0.0221
27085,0.0536
27089,-0.0226
27091,-0.0304
27093,0.0392
27095,0.0612
27097,-0.0076
27099,-0.0358
27101,0.0433
27103,0.0755
27105,0.0309
27107,-0.0362
27109,-0.0324
27111,0.0258
27113,-0.0463
27115,-0.0386
27117,-0.0980
27119,-0.0366
27121,0.0180
27123,0.0345
27125,0.0811
27127,0.0090
27129,0.0702
27131,0.0201
27133,-0.0083
27135,0.0370
27137,0.0299
27139,0.0995
27141,0.1356
27143,-0.0039
27145,0.0484
27147,-0.0083
27149,0.0678
27151,-0.0514
27153,0.0080
27155,-0.1000
27157,0.0418
27159,0.0740
27161,-0.0439
27163,0.0384
27165,0.0510
27167,0.0394
27169,0.0863
27171,0.0766
27173,0.0647
28003,0.0505
28007,-0.0121
28009,0.1995
28011,-0.0472
28013,0.1144
28015,0.0776
28017,0.1441
28019,0.2338
28023,0.0286
28025,0.0588
28029,0.1400
28031,0.0725
28033,0.0665
28035,0.1379
28037,0.1363
28039,0.1116
28041,0.0625
28043,0.1179
28045,0.0271
28047,0.0037
28049,0.1414
28057,0.1310
28059,0.1101
28061,0.1746
28067,0.0703
28071,0.1223
28073,0.0231
28075,0.0332
28077,-0.0068
28079,-0.0049
28081,0.1468
28085,0.0177
28087,0.1365
28089,0.0579
28091,0.1480
28093,0.0317
28095,0.0977
28097,-0.0264
28099,-0.0055
28101,0.0943
28105,0.0604
28107,0.1696
28109,0.0315
28111,-0.0390
28113,0.0739
28115,0.0122
28117,0.1005
28121,0.1251
28123,-0.0571
28127,0.0769
28129,0.0884
28131,0.0485
28135,0.0912
28137,0.1026
28139,-0.0417
28141,0.0237
28145,0.1325
28147,0.0136
28149,0.0754
28151,0.0445
28153,-0.0411
28155,0.1595
28159,0.1664
28161,-0.0166
28163,-0.0592
