id,h_avg
28035,-1.2515
28047,-0.3626
28049,-1.3515
28059,-1.2681
28067,-1.0627
28073,-0.7005
28075,-1.1725
28079,-1.7031
28081,-0.6691
28089,-0.9136
28093,-0.8108
28109,-1.0420
28115,-0.7745
28121,-0.5173
28123,-1.4518
28139,-1.3393
28145,-0.1255
29009,-0.8196
29019,-1.0293
29021,-1.0637
29029,-0.7844
29031,-0.4903
29037,-0.4886
29043,0.0173
29047,-0.1814
29051,-0.5929
29069,-0.8500
29071,-0.3835
29077,-0.7299
29095,-0.8283
29097,-1.0621
29099,0.1999
29101,0.0874
29109,-1.0121
29113,-0.8509
29119,-0.6473
29135,-1.7727
29145,-0.7175
29159,-1.1718
29165,0.3158
29169,0.2478
29183,-0.2916
29189,-0.1948
29195,-1.2320
29211,-0.8221
29213,-0.3723
29219,-0.9034
29510,-1.3823
30013,0.2697
30029,0.0169
30031,-0.2695
30049,-0.3596
30063,-0.0662
30081,0.0843
30111,-0.7922
31001,-0.6557
31013,-1.3652
31019,-1.0384
31037,-0.7462
31039,-1.4305
31043,-1.2579
31047,-1.3677
31053,-1.3418
31055,-1.3323
31079,-0.9619
31109,-0.4078
31111,-0.9223
31119,-1.0748
31131,-0.8211
31141,-0.5320
31151,-1.2983
31153,-0.5756
31157,-0.9866
31179,-0.5737
31185,-0.4740
32001,-1.2246
32003,-1.2064
32005,-0.6911
32007,-1.6033
32013,-1.4141
32015,-0.4593
32019,-0.6557
32023,-1.4458
32027,-2.2085
32031,-1.1206
32033,-1.8093
32510,-1.0158
33009,0.3083
33011,-1.1400
33013,0.2765
33015,0.5014
33017,-0.0206
34001,-0.7468
34003,0.3225
34005,-0.0528
34007,-1.3501
34009,-0.7648
34011,-1.0583
34013,-0.2831
34015,-0.1701
34017,-0.1401
34019,0.7018
34021,-0.8903
34023,-0.5815
34025,-0.3999
34027,0.4543
34029,-0.5731
34031,-0.9296
34033,-0.9481
34035,-0.3399
34037,0.1269
34039,-0.2267
34041,0.2353
35001,-1.4090
35005,-1.0149
35006,-1.1111
35007,-1.2420
35009,-1.1425
35013,-1.1193
35015,-1.2098
35017,-1.1361
35019,-1.0065
35023,-1.4468
35025,-1.6976
35027,-1.2286
35028,0.2778
35029,-2.0583
35031,-1.0624
35033,-1.2423
35035,-0.8184
35037,-1.0659
35039,-1.6869
35041,-1.3033
35043,-0.4899
35045,-1.1017
35047,-1.4947
35049,-1.6537
35051,-1.4517
35053,-1.9460
35055,-1.6229
35057,-0.9612
35059,-0.3733
35061,-1.0917
36001,-1.1745
36007,-1.3069
36009,-1.0192
36011,-1.0225
36013,-1.8910
36015,-1.3922
36021,-1.3602
36027,-0.9150
36029,-1.5228
36037,-1.3300
36039,-1.1928
36045,-0.6529
36051,-1.1812
36055,-1.7676
36057,-2.3419
36059,-0.2781
36061,-0.8827
36063,-0.8268
36065,-1.5276
36067,-2.3321
36069,-1.7511
36071,-0.9302
36073,-1.0049
36075,-1.3394
36077,-0.6019
36079,-0.0335
36083,-1.5707
36087,-0.9507
36091,0.0517
36093,-1.8766
36103,-0.7152
36105,-1.6500
36109,-0.7931
36111,-1.1502
36117,-0.8982
36119,-0.7542
37001,-0.9862
37003,-0.4718
37005,-0.6035
37009,0.0142
37011,-1.2662
37013,-0.6134
37017,-0.9521
37019,-0.4109
37021,-0.5926
37023,-0.1702
37025,-0.9683
37027,-0.5928
37031,-0.2472
37035,-0.7336
37037,-1.1549
37045,-0.2127
37047,-1.0098
37049,-0.1163
37051,-0.0510
37055,-0.7323
37057,-0.7531
37059,-0.3946
37061,-1.0280
37063,-1.3991
37065,-1.2369
37067,-1.2621
37069,-0.7250
37071,-0.7835
37077,-1.2735
37079,-1.4059
37081,-0.6818
37083,-1.3114
37085,-1.2434
37087,-0.0221
37089,-0.3837
37093,-0.5994
37097,-0.6010
37099,-0.7453
37101,-0.5609
37105,-0.4878
37107,-0.6163
37109,-0.0928
37111,-1.0923
37113,-1.0149
37119,-0.5100
37123,-0.8878
37125,-0.5005
37127,-0.8121
37129,-0.2442
37133,-0.1473
37135,-0.5592
37139,-0.3573
37141,-0.5616
37145,-0.3144
37147,-0.7519
37149,0.2774
37151,-1.1341
37153,-0.9237
37155,-1.2621
37157,-0.8994
37159,-1.4053
37161,-0.3713
37163,-0.4569
37167,-0.5819
37169,0.0577
37171,-0.0538
37175,-0.3330
37179,-0.1851
37181,-0.4246
37183,-0.5989
37189,-0.9734
37191,-0.8186
37193,-0.8795
37195,-0.3232
37197,-0.7475
37199,-1.0142
38015,-0.7190
38017,-0.6268
38035,-0.8015
38099,-0.8030
38101,-0.5031
39003,-0.0458
39007,-1.2676
39017,-0.7329
39023,-1.0795
39025,0.5027
39027,-0.4167
39035,-1.3552
39039,-0.5459
39041,0.4786
39043,-0.1630
39045,0.1905
39049,-1.0098
39051,-0.0143
39057,0.4249
39061,-0.5625
39063,-0.5844
39069,-0.5331
39077,-0.7920
39085,-1.3357
39089,0.0957
39093,-0.9921
39095,-0.9690
39099,-1.1340
39101,-0.5546
39103,0.3899
39109,0.0694
39113,-0.6229
39123,-0.3716
39133,0.3542
39137,-0.5194
39139,-0.1838
39143,-0.6864
39147,-0.4112
39151,-0.0636
39153,-0.3264
39155,-0.1369
39157,-1.0017
39165,0.9862
39169,0.1421
39171,-0.2653
39173,-0.1992
40001,-1.7028
40007,-1.1366
40009,-1.2287
40011,-1.0513
40013,-0.7110
40015,-1.0731
40017,-0.8340
40019,-0.8793
40021,-1.1250
40027,-0.3769
40031,-0.2392
40037,-0.9709
40039,-0.6903
40041,-1.2586
40047,-1.1087
40049,-1.3696
40051,-0.6224
40057,-1.3199
40065,-0.6232
40071,-0.8326
40073,-0.9098
40075,-0.5153
40079,-0.9480
40083,-1.3891
40085,-1.8562
40087,-0.8753
40089,-0.8921
40095,-1.2023
40097,-0.7042
40101,-0.8853
40109,-1.4468
40111,-0.7010
40115,-1.6612
40119,-0.3174
40121,-1.1906
40123,-0.8789
40125,-0.9429
40131,-0.8194
40133,-0.7268
40135,-0.6197
40137,-1.1211
40139,-1.1590
40141,-1.1513
40143,-1.5622
40145,-0.8702
40147,0.1691
40149,-0.7021
40153,-1.4188
41003,-1.1457
41005,-1.2818
41007,-1.4390
41009,-1.3719
41011,-1.5148
41013,-1.6597
41015,-1.5831
41017,-1.0735
41019,-1.0744
41027,-1.3468
41029,-1.6264
41031,-2.0572
41033,-0.7924
41035,-1.4704
41039,-1.1547
41041,-1.5945
41043,-1.5335
41045,-1.5271
41047,-1.5772
41049,-1.4518
41051,-1.7492
41053,-1.9946
41057,-1.3777
41059,-1.5875
41061,-1.3011
41065,-1.9997
41067,-1.4296
41071,-1.1467
42001,-0.4638
42003,0.2888
42007,-0.3227
42011,-1.4208
42017,-0.2489
42019,0.0184
42025,-0.6843
42027,0.2673
42029,-0.7114
42041,-0.1002
42043,-1.6837
42045,-0.8381
42049,-1.4354
42055,-1.3177
42069,-1.2109
42071,-1.1675
42075,-1.6749
42077,-1.3461
42079,-1.5209
42081,0.2324
42089,-0.2302
42091,-0.1149
42095,-0.8927
42097,-1.2188
42101,-1.9460
42103,0.9914
42107,-1.0519
42125,0.1800
42129,0.6034
42133,-1.4448
44003,-0.4552
44005,-0.9784
44007,-1.5833
44009,-0.0740
45003,-1.0737
45007,-0.3693
45013,-1.1481
45015,-0.7847
45019,-1.0310
45021,-2.0672
45025,-1.1048
45027,-0.9514
45029,-1.2777
45031,-1.0496
45035,-0.0351
45041,-0.8072
45043,-0.7414
45045,-0.9583
45047,-1.6858
45051,-0.5786
45053,-2.3042
45055,-0.7527
45057,-0.8741
45059,-1.5276
45063,-1.0460
45071,-1.0456
45073,-1.1233
45075,-2.1825
45077,-0.9668
45079,-0.7054
45081,-0.7596
45083,-0.9387
45085,-0.7169
45091,-0.5834
46005,-1.9989
46099,-1.1426
46103,-0.8565
47001,-0.5854
47003,-1.1492
47009,-0.8970
47011,-0.8720
47031,-0.9572
47033,-1.1930
47035,-0.9463
47037,-1.4953
47041,-1.8780
47043,-0.5984
47051,-1.3187
47053,-0.8170
47059,-0.8552
47063,-0.8959
47065,-1.2538
47075,-0.8184
47089,-1.7223
47093,-1.0552
47103,0.0761
47105,-1.1159
47107,-0.8269
47111,-1.6246
47113,-1.2400
47117,-0.7606
47119,-1.3125
47123,-1.6155
47125,-0.1883
47131,-0.8768
47141,-1.3678
47143,-0.8634
47147,-1.4460
47149,-0.4550
47155,-1.4410
47157,-1.3011
47163,-0.2490
47165,-0.7322
47171,-1.0389
47177,-1.3975
47179,-0.1477
47187,0.2940
47189,-0.8398
48001,-0.8278
48003,-1.0784
48005,-0.4779
48007,-0.8327
48009,-0.2585
48013,-0.9275
48015,-0.6393
48017,-0.8869
48019,-0.6894
48021,-1.1789
48025,-0.9758
48027,-0.5315
48029,-0.6681
48031,-0.7181
48035,-1.0671
